GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "50000","Vermont",1,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",421864,429224,433868,448932,458156,472144,478568,484372,498932,503392,500484,500088,498252,500940,515232,519308,531144,541212,546908,547752,553836,560772,568404,571284,576416,590896,599800,619380,627076,658440,684452,705408,732648,759448,787036,814884,830660,836000,852704,877416,898020,922364,943616,968044,995064,1023736,1055912,1086272,1114332,1121184,1133532,1147968,1168604,1183948,1205560,1222628,1290264,1291592,1305224,1330624,1393208,1436024,1465740,1486536,1487916,1535012,1561376,1579700,1575544,1606800,1643408,1707328,1753068,1785328,1841584,1847376,1883768,1954232,2014224,2115872,2191612,2283548,2349084,2425892,2509452,2566152,2624768,2703260,2764388,2828012,2861812,2945956,3078684,3128200,3204616,3263744,3317592,3338716,3437000,3437508,3528836,3650316,3696268,3784052,3891048,3971012,4038348,4166280,4240424,4346516,4485996,4580720,4705456,4776144,4839516,5037660,5064940,5213952,5330324,5557232,5514860,5740240,5961044,6088316,6224312,6277664,6227056,6402620,6559716,6599056,6544116,6528012,6538604,6601200,6659656,6742180,6882856,7067044,7152308,7129164,7319620,7352228,7508632,7487272,7557112,7684080,7757568,7913440,7989840,7984660,8133624,8191092,8332356,8406292,8526956,8520792,8739900,8773364,8843892,9165056,9238620,9377404,9573772,9679536,9796428,10005460,10256788,10441384,10710804,10972956,10908288,11136204,11484244,11559828,11557384,11607224
 "50000","Vermont",1,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",389308,395668,400328,414644,421472,434992,440764,445988,458844,463276,461072,460532,457840,460388,473452,477436,486916,496536,501280,502092,506624,513232,519928,522352,526916,539708,547736,565184,572476,601052,624512,643772,663596,687892,712396,737208,750580,754444,769544,791712,810480,833416,852996,875584,899184,924856,954096,981032,1005468,1010764,1021356,1033416,1049384,1062388,1080600,1094600,1149932,1150104,1162624,1186384,1234080,1273480,1301348,1319492,1316740,1356692,1376728,1387148,1375316,1397572,1427828,1482768,1519260,1547464,1595256,1598208,1622592,1680736,1730336,1814140,1877732,1956304,2011468,2075836,2143716,2190060,2238968,2304252,2356420,2407464,2432968,2506300,2604748,2644460,2709816,2759832,2797992,2812972,2892324,2886368,2951652,3052388,3092228,3167928,3247588,3315892,3372176,3477228,3535576,3621132,3734884,3810592,3909892,3963024,4011344,4174788,4207468,4332368,4430124,4625348,4578876,4769776,4953372,5056724,5166580,5198304,5147096,5284064,5397324,5427468,5380280,5358108,5357912,5401608,5438524,5492540,5591108,5731268,5788612,5772660,5901136,5931740,6049812,6032048,6074348,6182820,6243716,6378896,6448660,6454356,6581516,6636768,6764596,6836720,6944024,6948316,7136820,7171188,7231004,7495080,7574368,7682144,7834292,7911376,7994828,8153932,8346400,8494088,8724220,8928092,8873112,9046440,9322172,9367344,9339952,9356648
 "50000","Vermont",1,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",32556,33556,33540,34288,36684,37152,37804,38384,40088,40116,39412,39556,40412,40552,41780,41872,44228,44676,45628,45660,47212,47540,48476,48932,49500,51188,52064,54196,54600,57388,59940,61636,69052,71556,74640,77676,80080,81556,83160,85704,87540,88948,90620,92460,95880,98880,101816,105240,108864,110420,112176,114552,119220,121560,124960,128028,140332,141488,142600,144240,159128,162544,164392,167044,171176,178320,184648,192552,200228,209228,215580,224560,233808,237864,246328,249168,261176,273496,283888,301732,313880,327244,337616,350056,365736,376092,385800,399008,407968,420548,428844,439656,473936,483740,494800,503912,519600,525744,544676,551140,577184,597928,604040,616124,643460,655120,666172,689052,704848,725384,751112,770128,795564,813120,828172,862872,857472,881584,900200,931884,935984,970464,1007672,1031592,1057732,1079360,1079960,1118556,1162392,1171588,1163836,1169904,1180692,1199592,1221132,1249640,1291748,1335776,1363696,1356504,1418484,1420488,1458820,1455224,1482764,1501260,1513852,1534544,1541180,1530304,1552108,1554324,1567760,1569572,1582932,1572476,1603080,1602176,1612888,1669976,1664252,1695260,1739480,1768160,1801600,1851528,1910388,1947296,1986584,2044864,2035176,2089764,2162072,2192484,2217432,2250576
 "50000","Vermont",1,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",22720,23596,23632,24252,24816,25152,25672,26240,25936,25884,25108,25352,25820,25936,26936,27272,27896,28128,28948,28788,28716,28508,28900,28876,29664,30788,31328,32824,33168,34828,36308,37040,38144,39300,40920,42276,42928,43888,44868,47028,48528,50148,51952,53496,55492,57608,59392,61864,64520,66080,67820,70032,71116,73224,76268,79028,83356,84832,86044,87036,88768,90704,91592,92892,94000,99008,104596,112364,119968,128044,132960,138688,139668,142404,148576,152000,159960,169172,176572,186420,192712,199820,206076,213312,221648,228260,234516,243404,250820,261020,267524,273576,289568,296836,304128,310728,321076,326840,340796,348164,360852,374788,378808,386080,391812,398100,405024,420640,432704,447768,465776,478732,496956,510944,521552,544204,541408,558104,570452,589892,585672,607004,631828,649712,675760,694404,696656,719796,744472,747620,739156,746360,756824,772556,791632,816340,845748,878772,901644,906924,938520,944972,972332,972880,984688,996944,1004324,1014624,1018756,1008488,1022720,1020764,1026464,1024060,1028652,1018644,1039188,1036508,1043188,1081544,1069404,1093288,1126592,1150572,1178804,1218084,1264076,1291536,1314236,1357964,1351020,1390552,1440008,1467736,1496296,1530868
 "50000","Vermont",1,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",9836,9960,9908,10036,11868,12000,12132,12144,14152,14232,14304,14204,14592,14616,14844,14600,16332,16548,16680,16872,18496,19032,19576,20056,19836,20400,20736,21372,21432,22560,23632,24596,30908,32256,33720,35400,37152,37668,38292,38676,39012,38800,38668,38964,40388,41272,42424,43376,44344,44340,44356,44520,48104,48336,48692,49000,56976,56656,56556,57204,70360,71840,72800,74152,77176,79312,80052,80188,80260,81184,82620,85872,94140,95460,97752,97168,101216,104324,107316,115312,121168,127424,131540,136744,144088,147832,151284,155604,157148,159528,161320,166080,184368,186904,190672,193184,198524,198904,203880,202976,216332,223140,225232,230044,251648,257020,261148,268412,272144,277616,285336,291396,298608,302176,306620,318668,316064,323480,329748,341992,350312,363460,375844,381880,381972,384956,383304,398760,417920,423968,424680,423544,423868,427036,429500,433300,446000,457004,462052,449580,479964,475516,486488,482344,498076,504316,509528,519920,522424,521816,529388,533560,541296,545512,554280,553832,563892,565668,569700,588432,594848,601972,612888,617588,622796,633444,646312,655760,672348,686900,684156,699212,722064,724748,721136,719708
 "50000","Vermont",1,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",15260,15852,15864,16284,15124,14180,13100,13996,13936,14616,14396,14232,13648,12504,12172,11696,11860,11924,11912,11984,12452,12204,12876,11984,12204,13004,12760,12592,12076,12776,12376,12584,12452,12584,12604,12732,12892,12508,12444,12328,12536,12168,12272,12420,14020,14460,14748,15216,15324,15840,16060,15636,15160,14804,14920,14552,14256,13668,13752,14176,15196,16164,16864,17388,17196,17204,16924,16932,18464,18540,18144,18420,19140,19588,19572,19844,22072,22568,23432,24316,27208,28136,29172,30296,30636,31376,32084,32788,33436,33676,33508,32776,32576,32252,32468,33292,33600,34536,34888,34588,33348,32668,32244,32108,31840,32048,32236,32428,32052,32032,31720,31100,29920,29352,28936,28700,28028,28240,28824,29780,30928,32028,32880,33396,33408,34116,35308,37044,39616,41168,42036,42184,41536,41024,40420,39800,39224,39008,39480,40484,42812,44188,44812,44560,44088,43220,43340,44352,47136,48988,50288,50912,50820,50680,50728,51000,52132,52988,53620,54160,55140,55612,55356,54664,52752,51568,52072,53864,58048,61536,64592,66896,67064,68328,68968,68956
 "50000","Vermont",1,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",406604,413372,418004,432648,443032,457964,465468,470376,484996,488776,486088,485856,484604,488436,503060,507612,519284,529288,534996,535768,541384,548568,555528,559300,564212,577892,587040,606788,615000,645664,672076,692824,720196,746864,774432,802152,817768,823492,840260,865088,885484,910196,931344,955624,981044,1009276,1041164,1071056,1099008,1105344,1117472,1132332,1153444,1169144,1190640,1208076,1276008,1277924,1291472,1316448,1378012,1419860,1448876,1469148,1470720,1517808,1544452,1562768,1557080,1588260,1625264,1688908,1733928,1765740,1822012,1827532,1861696,1931664,1990792,2091556,2164404,2255412,2319912,2395596,2478816,2534776,2592684,2670472,2730952,2794336,2828304,2913180,3046108,3095948,3172148,3230452,3283992,3304180,3402112,3402920,3495488,3617648,3664024,3751944,3859208,3938964,4006112,4133852,4208372,4314484,4454276,4549620,4675536,4746792,4810580,5008960,5036912,5185712,5301500,5527452,5483932,5708212,5928164,6054920,6190904,6243548,6191748,6365576,6520100,6557888,6502080,6485828,6497068,6560176,6619236,6702380,6843632,7028036,7112828,7088680,7276808,7308040,7463820,7442712,7513024,7640860,7714228,7869088,7942704,7935672,8083336,8140180,8281536,8355612,8476228,8469792,8687768,8720376,8790272,9110896,9183480,9321792,9518416,9624872,9743676,9953892,10204716,10387520,10652756,10911420,10843696,11069308,11417180,11491500,11488416,11538268
 "50000","Vermont",1,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",326780,329504,333448,347328,357560,370260,379080,381140,397720,401584,401388,398464,394944,398404,409084,414176,424804,435068,437436,438952,443264,451164,456972,462028,463344,476196,484448,499456,507960,533344,558236,578876,603076,626180,645956,669176,686516,686988,701244,719944,735484,756640,772304,791420,812828,836640,863468,887124,907704,908860,918468,924760,936316,942704,955268,965424,1025412,1022120,1026644,1045080,1098852,1130252,1155612,1173712,1172084,1210876,1226912,1236772,1229656,1249096,1275400,1332204,1373516,1402288,1451928,1458736,1482124,1544780,1592040,1680920,1744820,1831076,1885960,1945060,2019320,2073948,2130680,2195044,2250688,2280744,2309432,2412056,2494700,2549672,2603176,2653768,2699224,2716000,2775172,2775220,2866800,2964268,3005436,3063216,3163692,3225664,3297088,3403552,3452700,3541996,3664824,3750820,3862380,3921060,3985756,4141624,4181004,4287564,4408464,4578952,4520060,4723544,4917660,5009932,5123220,5169232,5074444,5235832,5363084,5331600,5300288,5256952,5238572,5286912,5345248,5395372,5485536,5653616,5750620,5674836,5884488,5887556,6034808,5991608,6071864,6170740,6229988,6381952,6434096,6467012,6510428,6592756,6751032,6766012,6893692,6911820,7037892,7095464,7160512,7390836,7509352,7618620,7764212,7848080,7951800,8149720,8332272,8493488,8725380,8938540,8907912,9058924,9339288,9372956,9307736,9320136
 "50000","Vermont",1,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",1344,1348,1348,1344,1344,1328,1348,1392,1404,1436,1456,1464,1436,1440,1404,1884,1864,1848,1860,1868,1428,964,968,476,976,976,988,1032,1112,1160,1160,1088,1420,1212,1124,1132,1260,1416,1500,1516,1452,1840,1776,1752,1832,1792,2260,2232,2116,2188,2220,2660,2704,2672,3060,3000,3092,2564,2980,3000,3268,3644,3584,4016,3624,3640,3632,4012,4700,4392,4752,4952,5112,5540,5564,5384,5736,5844,5904,6792,8660,8636,9300,9900,10232,10948,11244,11436,12336,12888,12636,12904,13072,13192,13304,13072,14104,14916,15076,15308,15860,17104,18808,17236,18472,19228,19768,20716,21468,20928,20648,21600,22624,23968,24176,25092,26140,27056,29676,31248,33092,33040,33336,34700,32824,33240,34452,34808,36812,37400,36592,36192,37712,36864,35884,37036,36900,36868,37404,37060,37608,36620,38772,38100,38340,39136,38920,39008,38292,39796,38736,39764,40192,40452,41408,42076,41068,40956,42664,44268,46904,48528,48480,49476,51488,54764,55476,56200,57828,56960,58300,56512,72964,66856,60556,56876
 "50000","Vermont",1,SQINC6S,200,"B","   Mining","Thousands of dollars",6788,5812,5712,5844,5648,5592,5628,5872,5840,6288,6348,6156,6252,6056,6244,6332,6588,6508,6344,6276,6268,6220,6192,6360,6288,6436,5672,6824,7088,6664,6808,7248,2132,8248,8752,8552,7948,6900,6060,6260,7084,7296,7248,7592,7720,8032,7996,8600,8448,8252,8616,8116,7828,7808,7852,7920,8152,8292,8220,8536,8132,7884,7948,8104,8800,9168,9108,8236,8852,9252,8248,9048,9200,8624,9384,9328,9536,9892,10528,10172,10072,12116,12252,12856,13320,13344,13492,13908,14500,13640,11564,13212,12168,13428,13512,14540,15368,14068,16004,14212,12760,15240,14500,13536,11960,13468,12396,13092,11124,12044,12104,11568,12492,12024,13752,14324,13784,14780,14916,15644,17996,16428,16112,15984,15512,15788,15548,15492,16396,16484,17124,15856,16964,16716,16132,16204,15232,15924,16952,18712,17484,18824,18568,18720,18944,19504,20792,20752,20632,20508,19888,19476,21292,21516,22100,22760,21668,24220,23532,24148,24288,25280,27068,27416,26728,26428,26528,26696,28508,28156,27532,27320,30420,28100,28736,30116
 "50000","Vermont",1,SQINC6S,300,"C","   Construction","Thousands of dollars",23112,23820,24900,24980,26664,27864,28112,28804,30416,30140,31696,31920,28516,28144,30352,27984,28696,30748,28056,26848,25088,30444,32940,33072,32824,32860,32316,35500,37384,38788,41360,41436,44040,46132,48232,53772,54180,55136,57980,60712,64796,71956,68684,66784,72432,74796,80588,86664,94404,94728,94780,96324,94532,89496,88360,88472,87200,89120,99684,103944,105884,106088,99736,94104,94636,87816,83528,83948,78100,77612,80496,84648,82472,90992,94516,90636,85720,101392,103912,107764,118208,127780,136064,136180,138100,145108,144960,150276,159768,151240,148968,169336,172696,175752,172148,181552,163440,163148,174060,168752,199560,221240,205960,205684,214908,230832,249352,254804,270064,276048,293648,336544,354592,347440,335560,354568,357816,384216,401756,410804,416656,437224,444456,469404,506388,484552,455168,454576,436024,417972,413364,375164,360292,347532,338808,329168,330016,336332,335908,338520,335508,341984,373996,364368,350860,358452,362796,380284,408332,411672,378944,386432,385504,390528,440544,423288,421472,423592,445256,460236,483644,513564,487724,494892,522516,525516,522896,542928,576000,576288,581196,589424,601344,609148,622708,620652
 "50000","Vermont",1,SQINC6S,400,"D","   Manufacturing","Thousands of dollars",140552,139852,141904,147800,154404,163720,169968,167008,174728,171688,168688,164700,163156,165996,168180,175032,180780,185888,190224,188360,188308,186948,186120,187908,187220,193016,195468,201420,211004,222924,237716,246120,266352,271668,280840,293216,298784,295648,298836,301532,307128,314420,320812,325396,332372,346188,348732,354708,357188,346656,345116,339168,342228,341268,346636,345828,358636,364608,368572,378632,402092,413344,424220,440624,444188,465508,477152,474816,459720,464120,471624,501976,518228,525168,544452,546976,571844,595048,611872,637712,668360,717396,724480,761892,797004,821032,851108,877828,911928,918668,935316,964252,1003024,1029604,1055480,1056536,1091144,1073472,1069980,1066848,1094008,1111652,1123876,1156684,1181328,1192800,1198776,1253860,1252552,1281180,1325672,1303344,1341356,1352988,1373812,1412816,1414616,1405676,1436148,1473680,1449760,1495620,1536452,1535632,1566348,1629488,1553532,1603880,1690180,1618792,1580984,1599548,1565632,1611928,1670036,1655820,1642160,1689604,1725772,1659728,1650152,1686352,1769788,1762492,1686232,1727324,1722948,1765096,1791116,1776584,1775244,1810720,1877220,1858572,1892784,1903824,1961472,1926828,1922888,2007136,2062468,2016968,2064496,2062444,2105828,2170864,2224700,2222168,2277988,2453172,2374576,2448892,2521736,2473516,2413840,2382100
