GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "54000","West Virginia",5,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",22385752,22443184,22722624,22782328,22933232,23166056,23449592,23856068,24306460,24551408,24517124,24745264,25084612,25257008,25468296,25730992,25785012,25785728,26014848,26235312,26409912,26556876,26734892,27088652,27314620,28004020,28393660,28452208,28807656,29180424,29367980,29752300,30646040,31105096,31269252,31602000,31806364,31950948,32083388,32419040,32957448,33473836,34056840,34665196,34041612,33812972,33438472,33570180,33498172,34009720,34878068,34755468,35076352,35970648,36494804,36455904,37274352,37605304,37172856,37258596,37674732,37665568,37259364,37316912,37255760,37726040,37925520,38370340,38203476,38379996,38009228,37838864,37384700,37201788,37168276,37476308,38648380,38608244,39122952,39455788,40516264,41390936,42615672,42703316,42418728,42745188
 "54000","West Virginia",5,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",17746600,17787092,18009104,18063584,18190708,18356200,18533264,18813820,19121844,19252944,19216344,19405968,19716200,19882748,20057688,20278880,20312620,20307912,20460728,20559784,20603380,20694656,20820164,21120708,21263256,21848688,22196568,22249660,22488364,22781068,22907116,23133676,23765700,24065848,24186648,24534888,24870564,25067404,25218108,25545704,26020280,26446764,26957172,27488168,26891588,26768976,26496208,26658656,26536816,27026704,27763520,27677292,27888736,28610492,29001972,28845940,29494732,29671240,29249312,29330788,29609776,29592252,29287780,29430384,29656152,30048112,30193408,30528284,30334980,30447352,30159984,30056512,29749932,29624864,29597976,29799076,30681768,30593404,30975776,31251192,32171384,32907140,33942236,34006588,33785440,34046398
 "54000","West Virginia",5,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",4639152,4656092,4713520,4718744,4742524,4809856,4916328,5042248,5184616,5298464,5300780,5339296,5368412,5374260,5410608,5452112,5472392,5477816,5554120,5675528,5806532,5862220,5914728,5967944,6051364,6155332,6197092,6202548,6319292,6399356,6460864,6618624,6880340,7039248,7082604,7067112,6935800,6883544,6865280,6873336,6937168,7027072,7099668,7177028,7150024,7043996,6942264,6911524,6961356,6983016,7114548,7078176,7187616,7360156,7492832,7609964,7779620,7934064,7923544,7927808,8064956,8073316,7971584,7886528,7599608,7677928,7732112,7842056,7868496,7932644,7849244,7782352,7634768,7576924,7570300,7677232,7966612,8014840,8147176,8204596,8344880,8483796,8673436,8696728,8633288,8698790
 "54000","West Virginia",5,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",2463280,2483956,2528700,2548176,2586232,2632996,2685240,2721328,2740884,2794340,2799844,2856616,2934692,3004092,3083132,3141404,3189928,3212648,3273828,3369044,3437188,3463116,3509560,3565724,3647876,3737400,3764248,3770744,3832504,3888188,3960460,4133168,4399864,4593076,4701272,4732880,4669624,4687888,4733892,4782460,4875544,4974544,5022960,5050600,5031912,4911808,4821720,4786892,4809676,4819324,4919636,4909152,4956448,5095848,5202992,5335640,5435968,5576360,5602124,5604344,5730996,5738436,5657644,5556100,5245128,5298980,5340864,5421252,5469444,5513660,5436372,5361524,5220968,5155208,5144456,5238892,5472992,5542668,5658816,5709260,5819236,5916456,6043192,6067720,6013804,6061852
 "54000","West Virginia",5,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",2175872,2172136,2184820,2170568,2156292,2176860,2231088,2320920,2443732,2504124,2500936,2482680,2433720,2370168,2327476,2310708,2282464,2265168,2280292,2306484,2369344,2399104,2405168,2402220,2403488,2417932,2432844,2431804,2486788,2511168,2500404,2485456,2480476,2446172,2381332,2334232,2266176,2195656,2131388,2090876,2061624,2052528,2076708,2126428,2118112,2132188,2120544,2124632,2151680,2163692,2194912,2169024,2231168,2264308,2289840,2274324,2343652,2357704,2321420,2323464,2333960,2334880,2313940,2330428,2354480,2378948,2391248,2420804,2399052,2418984,2412872,2420828,2413800,2421716,2425844,2438340,2493620,2472172,2488360,2495336,2525644,2567340,2630244,2629008,2619484,2636938
 "54000","West Virginia",5,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",29300,30092,30788,31308,32312,32992,33620,34236,32768,32736,33264,34172,38720,38240,37476,36496,43208,41892,40832,40012,43120,42988,43324,44168,40140,41128,41940,42612,33720,33736,33368,32668,34848,34512,34920,36068,37828,39060,39620,39432,35632,35100,34812,34792,33620,33628,33488,33144,32896,32144,31216,30120,26396,26204,26968,28740,40360,42748,43976,44008,43752,43144,43008,43300,46012,46340,46196,45560,38488,38072,38212,38912,43320,44380,45084,45460,38968,38920,38816,38620,38264,38284,38536,39088,39803,40320
 "54000","West Virginia",5,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",22356452,22413092,22691836,22751020,22900920,23133064,23415972,23821832,24273692,24518672,24483860,24711092,25045892,25218768,25430820,25694496,25741804,25743836,25974016,26195300,26366792,26513888,26691568,27044484,27274480,27962892,28351720,28409596,28773936,29146688,29334612,29719632,30611192,31070584,31234332,31565932,31768536,31911888,32043768,32379608,32921816,33438736,34022028,34630404,34007992,33779344,33404984,33537036,33465276,33977576,34846852,34725348,35049956,35944444,36467836,36427164,37233992,37562556,37128880,37214588,37630980,37622424,37216356,37273612,37209748,37679700,37879324,38324780,38164988,38341924,37971016,37799952,37341380,37157408,37123192,37430848,38609412,38569324,39084136,39417168,40478000,41352652,42577136,42664228,42378925,42704868
 "54000","West Virginia",5,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",17450240,17485756,17675688,17705964,17710248,17891208,18040976,18408064,18753984,18883176,18869764,19015560,19378096,19488632,19586464,19815860,19836044,19773976,19906232,20022212,20028740,20106076,20241328,20594648,20680276,21295180,21644736,21745360,21755132,22210988,22497036,22689628,23583276,23983360,24087916,24377156,24572536,24611888,24637436,24882852,25334052,25725288,26163024,26680396,25917768,25543780,25233680,25426240,25030984,25617048,26562108,26539788,26653292,27588284,28110396,27906336,28701904,28929328,28479468,28556156,28920164,28958876,28611396,28598728,28541568,28968724,29053344,29469520,29221136,29392712,29146296,28889204,28298064,28133084,28239412,28304384,29551184,29496916,30014644,30308124,31274516,32193236,33125196,33217780,32831476,33117075
 "54000","West Virginia",5,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",45524,48356,52748,51600,49028,48020,46628,48024,45776,42164,50244,63580,46400,45836,45940,51768,48508,49480,50220,47812,44256,45568,46348,47464,50564,50504,52104,52388,49776,52140,49660,50156,55520,57164,57116,59540,55980,58912,56592,56820,52144,50472,52724,53752,49568,46320,48740,47580,43652,50076,47536,44368,42640,46164,48488,46320,56836,52352,51132,51644,53004,50496,49384,49364,53060,54980,55656,58156,56500,59512,62276,58332,58324,56740,60616,63068,57040,58020,59808,64760,56996,61024,59944,60576,64106,62556
 "54000","West Virginia",5,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",1346888,1351412,1337316,1295616,1251044,1205664,1177040,1193228,1176220,1174316,1220112,1218276,1310976,1369604,1437868,1417248,1386164,1258608,1281836,1292996,1281696,1311188,1292864,1338476,1379760,1472344,1532172,1653272,1539044,1685196,1773592,1807660,1957108,1963932,2047104,2007012,2049580,2091156,2150784,2164928,2265700,2485384,2660112,2780508,2645488,2588176,2350236,2417356,2316792,2477580,2717708,2732084,2809052,2969020,3268744,3235896,3208708,3324944,3049728,2985348,2968084,3127148,2973052,2918556,2833260,2891248,2855636,2808904,2586512,2481148,2282780,2205772,1846248,1733520,1758284,1738952,2015520,2037856,2176140,2172688,2242936,2256456,2299168,2176112,2341290,2399018
