GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "16000","Idaho",7,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",1192172,1194756,1221728,1254464,1261176,1282556,1287264,1316556,1323112,1316892,1313468,1310784,1354544,1374712,1405664,1432796,1486260,1493420,1483092,1488968,1501368,1500020,1543160,1547376,1538340,1546324,1581220,1633484,1734716,1757824,1829436,1853084,1850816,1808072,1787096,1823124,1855076,1886856,1970792,2014652,2038428,2067960,2068624,2085320,2286364,2383752,2425992,2467856,2569376,2614580,2683692,2722988,2785692,2866484,2915296,3009132,3100708,3201440,3361312,3553900,3567188,3719628,3871436,4123808,4327084,4374472,4602696,4685188,4653940,4764900,4934040,5113976,5299756,5363860,5465696,5615656,5681036,5781452,5986668,6320192,6477060,6735484,6943872,7163156,7224684,7315480,7550020,7786520,8100092,8071844,8471704,8936136,9020944,9123948,9443712,9361796,9427864,9610976,9761700,9998052,10560380,10574952,10504584,10758268,10931824,11174224,11428020,11643160,11846344,11893704,11919756,12071216,12083956,12128092,12249640,12247020,12402244,12585456,12806808,13102960,13374728,13673924,14026404,13987628,14837420,15046492,15183496,15520340,16073904,16277192,16473824,16584320,16751024,17039624,17253352,17719696,18349332,18794864,19163868,19311308,20226872,20639140,20609476,21407712,21520080,22029724,22448836,22718836,23270624,23582108,23924768,24593248,24854964,25456768,25388660,25639384,25891396,26161396,26644260,26983432,28053834,28360686,28696522,29182710,29843193,29978589,30371609,31191581,31969008,32751332,32899624,33544388,33838184,34183572,34055196,34172044
 "16000","Idaho",7,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",993444,985540,1002932,1028424,1047188,1057632,1056092,1081356,1093308,1087340,1081704,1073752,1113932,1129876,1153380,1174452,1233444,1233196,1216844,1221184,1233744,1231208,1272168,1268612,1253456,1262464,1297516,1347308,1440528,1461716,1519740,1543128,1549732,1504784,1479124,1508596,1539996,1566764,1634992,1663696,1669660,1698956,1716976,1744344,1850504,1936408,1970680,2005756,2076164,2083120,2130556,2148916,2208076,2241168,2272044,2359124,2431912,2564476,2672468,2819832,2847960,2975104,3094608,3302600,3494828,3497200,3680020,3705916,3612452,3656784,3800400,3952496,4131816,4183164,4252824,4381132,4427312,4485380,4636760,4934176,5076452,5322984,5466336,5643876,5657644,5732040,5888068,6034436,6226020,6112044,6395916,6770856,6847984,6849348,6966600,6785248,6733724,6801232,6853840,6985684,7548812,7552716,7431096,7639836,7809056,7973020,8141532,8262224,8356948,8350636,8367324,8482784,8427452,8450456,8622664,8679084,8844348,8980748,9168048,9420272,9646456,9979332,10279212,10133196,10754908,10897440,11019760,11340912,11790780,11994876,12181532,12317956,12351544,12550868,12699504,13055496,13635248,13970056,14238956,14219844,15052720,15367992,15271976,16005232,15995576,16422316,16738092,16757020,17028984,17168392,17385416,18028680,17998420,18486576,18347452,18475608,18606576,18808100,19196792,19380764,20255446,20446034,20734130,21241950,21870845,21988177,22329137,23041149,23720768,24342292,24275428,24876412,24880892,25085436,25110720,25001824
 "16000","Idaho",7,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",37112,37484,37572,37740,43528,42996,42484,42540,49600,50040,50940,51216,54964,56212,57240,57332,64600,62396,61020,60636,67900,68500,70444,70148,68984,68848,70976,72132,74100,75392,77132,76388,93316,91200,91664,94052,100012,105256,108504,113128,117804,120832,123160,124596,122668,124396,128484,129780,133724,135560,136924,138812,151712,153000,152992,156540,176824,180648,182976,189044,231248,237084,240544,246732,266988,275836,288292,292756,305464,308896,317552,324768,360320,362508,371056,379360,406564,410800,417332,430004,461576,478032,491176,510016,531720,558564,575880,590292,593832,592440,608080,628504,696564,702000,710372,702824,715160,721484,721092,721088,759152,776544,780968,797480,849252,859440,878140,893324,917020,924420,931372,945104,948928,948812,956956,963432,968812,973744,992152,1017752,1062548,1116900,1155840,1176008,1191100,1222596,1253924,1304100,1367860,1413692,1462552,1495300,1524460,1549244,1581828,1601784,1678152,1710564,1729708,1687316,1844124,1838528,1866784,1903884,1985492,2041056,2086484,2092192,2147324,2163052,2174952,2235040,2214388,2249184,2248924,2255172,2293472,2322668,2357852,2372456,2446028,2466816,2491924,2527576,2567320,2581448,2616224,2698320,2801224,2848004,2834456,2904920,2895772,2906408,2892660,2880448
 "16000","Idaho",7,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",17852,17904,17924,17868,20016,19740,19444,19584,23260,23452,23852,23740,24908,25116,25456,25388,27220,26556,26228,26296,30532,30876,31752,31600,31832,31584,32340,32576,33384,33548,34032,33664,42768,42032,43336,44496,48472,51776,53172,55220,57044,58728,59696,60264,57388,58164,59932,60444,62292,63060,63796,64496,70040,70456,70564,71804,80116,81628,83136,85652,105028,107820,109708,112196,121620,125580,131348,133512,140836,141832,144836,147616,160604,160256,163192,166192,177128,178328,180836,185232,195940,202360,208744,217976,228760,241756,250252,257008,259268,258772,266280,275224,305260,308032,313380,312100,318836,322600,323708,324044,336548,343316,344364,349948,365804,369832,378456,387072,406028,412228,417256,424384,428116,428680,432548,436248,441112,444520,453896,468160,492696,520940,540932,553196,566524,583032,598360,621988,650960,670348,695300,711148,728092,740628,756664,765276,798016,811236,817656,794940,865032,859988,872200,888824,930272,955704,975460,975000,999076,1002956,1006956,1035660,1030440,1051564,1055816,1063772,1087156,1104680,1123864,1131588,1161500,1172360,1185776,1206640,1233412,1243180,1261656,1301948,1347608,1371752,1364140,1400456,1398560,1408260,1404300,1399596
 "16000","Idaho",7,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",19260,19580,19648,19872,23512,23256,23040,22956,26340,26588,27088,27476,30056,31096,31784,31944,37380,35840,34792,34340,37368,37624,38692,38548,37152,37264,38636,39556,40716,41844,43100,42724,50548,49168,48328,49556,51540,53480,55332,57908,60760,62104,63464,64332,65280,66232,68552,69336,71432,72500,73128,74316,81672,82544,82428,84736,96708,99020,99840,103392,126220,129264,130836,134536,145368,150256,156944,159244,164628,167064,172716,177152,199716,202252,207864,213168,229436,232472,236496,244772,265636,275672,282432,292040,302960,316808,325628,333284,334564,333668,341800,353280,391304,393968,396992,390724,396324,398884,397384,397044,422604,433228,436604,447532,483448,489608,499684,506252,510992,512192,514116,520720,520812,520132,524408,527184,527700,529224,538256,549592,569852,595960,614908,622812,624576,639564,655564,682112,716900,743344,767252,784152,796368,808616,825164,836508,880136,899328,912052,892376,979092,978540,994584,1015060,1055220,1085352,1111024,1117192,1148248,1160096,1167996,1199380,1183948,1197620,1193108,1191400,1206316,1217988,1233988,1240868,1284528,1294456,1306148,1320936,1333908,1338268,1354568,1396372,1453616,1476252,1470316,1504464,1497212,1498148,1488360,1480852
 "16000","Idaho",7,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-2980,-3108,-3136,-3192,-3140,-3148,-3112,-3192,-2780,-2756,-2848,-2768,-2648,-2644,-2748,-2744,-2976,-2784,-2648,-2592,-2008,-2028,-2196,-2084,-1604,-1568,-1796,-1864,-1644,-1696,-1852,-1868,-1452,-1224,-820,-848,-676,-620,-524,-480,-364,-360,-316,-304,13256,13924,13764,14060,15284,14752,14676,14244,15456,15512,15812,16064,16732,17208,16952,17308,18432,18808,19340,19964,22024,22308,22384,23304,26136,27892,28820,28852,32888,34860,35792,36720,32444,34436,36380,37740,39252,41044,43052,46076,42868,44472,48740,50932,55860,59188,60596,63428,49244,51804,53888,56512,61708,61220,61960,61372,61728,61944,61512,65308,76072,76284,76848,75916,80628,83456,86492,88700,95308,97428,100160,107008,103708,106820,108592,112360,123560,124840,125628,130212,135792,139468,143508,147804,152604,157060,158112,160660,174480,176516,178900,182908,191464,191140,194872,205764,215348,220244,217028,215716,245316,245296,241880,251020,278232,283696,290476,288732,318036,323440,336308,344216,367868,374976,378480,388496,433608,441536,451408,456408,499504,495372,514040,532188,539416,518316,520080,519180,515104,526756,509064,513736
 "16000","Idaho",7,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",953352,944948,962224,987492,1000520,1011488,1010496,1035624,1040928,1034544,1027916,1019768,1056320,1071020,1093392,1114376,1165868,1168016,1153176,1157956,1163836,1160680,1199528,1196380,1182868,1192048,1224744,1273312,1364784,1384628,1440756,1464872,1454964,1412360,1386640,1413696,1439308,1460888,1525964,1550088,1551492,1577764,1593500,1619444,1741092,1825936,1855960,1890036,1957724,1962312,2008308,2024348,2071820,2103680,2134864,2218648,2271820,2401036,2506444,2648096,2635144,2756828,2873404,3075832,3249864,3243672,3414112,3436464,3333124,3375780,3511668,3656580,3804384,3855516,3917560,4038492,4053192,4109016,4255808,4541912,4654128,4885996,5018212,5179936,5168792,5217948,5360928,5495076,5688048,5578792,5848432,6205780,6200664,6199152,6310116,6138936,6080272,6140968,6194708,6325968,6851388,6838116,6711640,6907664,7035876,7189864,7340240,7444816,7520556,7509672,7522444,7626380,7573832,7599072,7765868,7822660,7979244,8113824,8284488,8514880,8707468,8987272,9249000,9087400,9699600,9814312,9909344,10184616,10575524,10738244,10877092,10983316,11001564,11178140,11296576,11636620,12148560,12450632,12704120,12738292,13423944,13749708,13622220,14317064,14255400,14626556,14893488,14915848,15159892,15289036,15500940,16082372,16102068,16560832,16434836,16564652,16680972,16860408,17217420,17396804,18243026,18420754,18693614,19170782,19803029,19902101,20226953,20875017,21458960,22012604,21961052,22490672,22500224,22705784,22727124,22635112
 "16000","Idaho",7,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",167636,172384,178252,184436,181208,186736,189584,192640,194716,194160,195580,196148,199136,203016,208756,214432,215716,220964,223292,223868,226608,231696,235820,241564,242556,242240,245140,248292,252784,256980,262864,266780,271716,271808,272468,269040,266520,272748,287420,304800,321488,315388,297688,286508,355096,364372,374464,382392,408500,417000,441728,455932,466084,488744,506020,509916,535520,503444,555280,570344,591700,618208,644336,683656,695288,720504,753092,790532,836216,865572,891048,902148,919780,928460,941864,968836,1011084,1053356,1094764,1136572,1173768,1201456,1243484,1281180,1320680,1343828,1380640,1458424,1542928,1597352,1629216,1739560,1803892,1890408,2024692,2086488,2181068,2263624,2316908,2364692,2407012,2429632,2497516,2541224,2560892,2635332,2749004,2824468,2895028,2936256,2952304,2987108,3014084,3008072,2943316,2882444,2875892,2891296,2952220,3006488,3012148,3013196,3084940,3177228,3327992,3407412,3432564,3475548,3565028,3574424,3611552,3570172,3621428,3671944,3734228,3765656,3796424,3887368,3950768,4031524,4166616,4237544,4307276,4391960,4493832,4610096,4729240,4876848,5060868,5185120,5270012,5366244,5477876,5539064,5621108,5721152,5776852,5866228,5966324,6094532,6251052,6360760,6402808,6357152,6285796,6286820,6296256,6416472,6509932,6612336,6747288,6792800,6842784,6835860,6783032,6695540
 "16000","Idaho",7,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",71184,77424,81252,82536,79448,84332,87184,88292,87468,88188,89972,94868,99088,100676,103516,103988,104676,104440,106624,107144,110924,107644,107812,109432,112916,112036,111336,111880,117148,116216,125816,121432,124136,123904,127988,140388,149248,153220,157408,159764,165448,174808,177436,179368,190176,193444,195568,195428,203152,235268,233656,242708,247788,274060,274412,280568,293368,296960,299588,335460,340344,344592,353696,364320,381932,410296,435492,458192,484600,523548,531324,555248,575592,579884,606272,608328,616760,619080,636096,641708,649164,648032,682176,702040,735212,753704,808452,833020,869116,895700,994056,990796,1016388,1034388,1108904,1136372,1166524,1206384,1250084,1307392,1301980,1307204,1295428,1309380,1335056,1349028,1338776,1373876,1430760,1447776,1445008,1457728,1496040,1520948,1540456,1541916,1547108,1580336,1570100,1581592,1655112,1673456,1692464,1723000,1809828,1824768,1841588,1860176,1933352,1964524,1985180,2030832,2128032,2189540,2222548,2317420,2404348,2456864,2508980,2541492,2636312,2651888,2679980,2698688,2770848,2793072,2826108,2926140,3049864,3107952,3153816,3144632,3275020,3356872,3332716,3353580,3433572,3434760,3460516,3492096,3559756,3579172,3600100,3654776,3754368,3789668,3848400,3900092,4000116,4126392,4191284,4260916,4495176,4641928,4545040,4841392
 "16000","Idaho",7,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",661192,673596,684648,707880,716740,722440,721880,732976,743660,750980,756188,751648,775568,786548,807064,818184,869612,860520,850580,846112,853260,858028,883392,884864,897116,906456,939388,953748,978352,995676,1029720,1048136,1065308,1069960,1063212,1086380,1091608,1105944,1120672,1148748,1165508,1190032,1214856,1236136,1273016,1299660,1345076,1365080,1405140,1428932,1450308,1478180,1514536,1538736,1563360,1610068,1665856,1720912,1767664,1843420,1898080,1961052,2001556,2059832,2130276,2213484,2324520,2375880,2468712,2507396,2594480,2687280,2841768,2890660,2986280,3081508,3201276,3261824,3352664,3486560,3593748,3720876,3819152,3935424,4000468,4157316,4249860,4332392,4385800,4396916,4480384,4632784,4811816,4849984,4907656,4860228,4860344,4892704,4897820,4919268,5014512,5157188,5215252,5342948,5419012,5497048,5618148,5713136,5792328,5828956,5855916,5914324,5898316,5876808,5906136,5951840,6024260,6067948,6172560,6341536,6326836,6644032,6839256,6930528,7033320,7156488,7263504,7471112,7683300,7888056,8070724,8193976,8329912,8449264,8629680,8754108,9103932,9300300,9414920,9402184,9809508,9915964,10062876,10340332,10554456,10953572,11203060,11248960,11571760,11670012,11756072,12111848,12110368,12368908,12421396,12512856,12830632,13052280,13299656,13427532,13719536,13875488,14073800,14372068,14693268,14855976,15129288,15683064,16344188,16654976,16589764,17012884,16967576,17063644,17003092,16955704
 "16000","Idaho",7,SQINC5S,60,"..."," Supplements to wages and salaries","Thousands of dollars",56312,58100,58456,60588,65388,65224,65300,66248,69568,70168,72488,72768,77764,79512,82128,81688,88972,87752,87404,87436,91568,92300,94608,95148,94348,94952,98892,101932,104160,105732,108552,109088,117152,115624,114708,118396,121264,125712,128768,134612,139572,144200,149092,152312,159516,162628,169180,172840,180760,187372,191372,197624,210312,216324,222276,234204,255996,267332,273544,281604,306604,311712,316132,325184,342572,355920,374468,386668,413184,424964,438772,451464,483564,490220,506772,525704,561124,572916,588152,610844,647204,663400,684216,705920,722020,754680,773620,792548,801876,812772,834696,858904,913800,925860,940896,944580,950256,963200,971848,989480,1037528,1067904,1079748,1100916,1144548,1161204,1187484,1211368,1237696,1251792,1264388,1282848,1292368,1303456,1322908,1337576,1345952,1356428,1379376,1409816,1423092,1496240,1536532,1569156,1603512,1657940,1706824,1765216,1840524,1887056,1936468,1980824,2028784,2065988,2125744,2179812,2311296,2384188,2441396,2429188,2595568,2598100,2645784,2696420,2764052,2824312,2878068,2871644,2899560,2927656,2922404,3001408,2979848,3022976,3008648,3013116,3038128,3070244,3106820,3132424,3225848,3274268,3307612,3352432,3397220,3435016,3480488,3615516,3744528,3839744,3861324,3924152,3917136,3940788,3955508,3951752
 "16000","Idaho",7,SQINC5S,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",37052,38520,38808,40716,41876,41968,42260,43292,43228,43580,45400,45292,47708,48416,50344,49744,51592,51912,52612,53096,54200,54676,55916,56600,57196,57688,60256,62376,63444,63888,65452,66364,66604,66456,66380,68840,69724,72232,73436,76704,78812,82096,85628,87980,94236,96396,100628,103504,109328,114872,118244,123308,128640,133780,139848,149468,159288,168312,173704,178212,180384,182448,185296,190648,197204,205664,217524,227424,248556,257900,266056,274312,283848,287968,298908,312536,331688,340444,351656,366072,381568,387728,401784,413880,419060,437872,447992,459264,467312,479104,492896,505624,522496,531892,543904,553856,553932,564316,574464,592436,614924,634676,643144,653384,661100,671596,687800,705116,726704,739600,750272,762128,771556,783324,798500,810392,818252,827204,841120,860224,853240,900280,921624,946344,978936,1018376,1051260,1083104,1123624,1143712,1169216,1196672,1232416,1257372,1300580,1343304,1431160,1484860,1529344,1536812,1616476,1619560,1651200,1681360,1708832,1738960,1767044,1754452,1751312,1767560,1754408,1802028,1795900,1825356,1815540,1821716,1831812,1852256,1872832,1891556,1941320,1979812,2001464,2031496,2063312,2096748,2125920,2219144,2290912,2363492,2391008,2419688,2419924,2442640,2467148,2470900
 "16000","Idaho",7,SQINC5S,62,"...","  Employer contributions for government social insurance","Thousands of dollars",19260,19580,19648,19872,23512,23256,23040,22956,26340,26588,27088,27476,30056,31096,31784,31944,37380,35840,34792,34340,37368,37624,38692,38548,37152,37264,38636,39556,40716,41844,43100,42724,50548,49168,48328,49556,51540,53480,55332,57908,60760,62104,63464,64332,65280,66232,68552,69336,71432,72500,73128,74316,81672,82544,82428,84736,96708,99020,99840,103392,126220,129264,130836,134536,145368,150256,156944,159244,164628,167064,172716,177152,199716,202252,207864,213168,229436,232472,236496,244772,265636,275672,282432,292040,302960,316808,325628,333284,334564,333668,341800,353280,391304,393968,396992,390724,396324,398884,397384,397044,422604,433228,436604,447532,483448,489608,499684,506252,510992,512192,514116,520720,520812,520132,524408,527184,527700,529224,538256,549592,569852,595960,614908,622812,624576,639564,655564,682112,716900,743344,767252,784152,796368,808616,825164,836508,880136,899328,912052,892376,979092,978540,994584,1015060,1055220,1085352,1111024,1117192,1148248,1160096,1167996,1199380,1183948,1197620,1193108,1191400,1206316,1217988,1233988,1240868,1284528,1294456,1306148,1320936,1333908,1338268,1354568,1396372,1453616,1476252,1470316,1504464,1497212,1498148,1488360,1480852
 "16000","Idaho",7,SQINC5S,70,"..."," Proprietors' income 6/","Thousands of dollars",275940,253844,259828,259956,265060,269968,268912,282132,280080,266192,253028,249336,260600,263816,264188,274580,274860,284924,278860,287636,288916,280880,294168,288600,261992,261056,259236,291628,358016,360308,381468,385904,367272,319200,301204,303820,327124,335108,385552,380336,364580,364724,353028,355896,417972,474120,456424,467836,490264,466816,488876,473112,483228,486108,486408,514852,510060,576232,631260,694808,643276,702340,776920,917584,1021980,927796,981032,943368,730556,724424,767148,813752,806484,802284,759772,773920,664912,650640,695944,836772,835500,938708,962968,1002532,935156,820044,864588,909496,1038344,902356,1080836,1279168,1122368,1073504,1118048,980440,923124,945328,984172,1076936,1496772,1327624,1136096,1195972,1245496,1314768,1335900,1337720,1326924,1269888,1247020,1285612,1236768,1270192,1393620,1389668,1474136,1556372,1616112,1668920,1896528,1839060,1903424,1633512,2118076,2083012,2049432,2104584,2266956,2219764,2174340,2143156,1992848,2035616,1944080,2121576,2220020,2285568,2382640,2388472,2647644,2853928,2563316,2968480,2677068,2644432,2656964,2636416,2557664,2570724,2706940,2915424,2908204,3094692,2917408,2949636,2737816,2685576,2790316,2820808,3310062,3296278,3352718,3517450,3780357,3697185,3719361,3742569,3632052,3847572,3824340,3939376,3996180,4081004,4152120,4094368
 "16000","Idaho",7,SQINC5S,71,"...","  Farm proprietors' income","Thousands of dollars",139816,117740,120680,117332,119488,119392,117168,131480,131032,115588,101492,99736,106196,105804,103772,109976,98180,114172,111188,118800,120296,107088,113744,103348,68932,59092,50080,81444,147540,148088,166316,168588,142100,99052,81908,82096,105092,115716,162688,158456,134452,124716,108044,109056,153908,204248,182764,201724,212176,184272,202724,178908,182372,178060,170844,193252,177736,228488,265788,303608,250952,316048,384548,522296,601100,486020,523524,479436,259104,246184,272604,300592,254808,212044,135696,135604,37408,27860,63976,178672,120344,183720,187276,203616,129472,18212,68516,120572,252528,102204,241924,409676,252072,277720,332316,222100,193276,190476,212136,280996,651496,449496,261072,310472,330188,345432,328204,342784,322816,294320,271108,290588,264188,284756,376944,385640,400160,448368,456740,462592,581724,497792,563964,347656,766760,677368,629264,702688,876996,811968,733960,704160,625332,649016,523148,663432,637188,649732,705392,644540,770440,955784,641048,995436,561960,484376,461380,378832,440316,434676,526548,686372,670624,787196,566860,570032,443900,351672,413320,401112,614830,576734,571310,657590,799217,639253,605353,557285,542168,651720,613880,659480,726176,722144,728780,699256
 "16000","Idaho",7,SQINC5S,72,"...","  Nonfarm proprietors' income","Thousands of dollars",136124,136104,139148,142624,145572,150576,151744,150652,149048,150604,151536,149600,154404,158012,160416,164604,176680,170752,167672,168836,168620,173792,180424,185252,193060,201964,209156,210184,210476,212220,215152,217316,225172,220148,219296,221724,222032,219392,222864,221880,230128,240008,244984,246840,264064,269872,273660,266112,278088,282544,286152,294204,300856,308048,315564,321600,332324,347744,365472,391200,392324,386292,392372,395288,420880,441776,457508,463932,471452,478240,494544,513160,551676,590240,624076,638316,627504,622780,631968,658100,715156,754988,775692,798916,805684,801832,796072,788924,785816,800152,838912,869492,870296,795784,785732,758340,729848,754852,772036,795940,845276,878128,875024,885500,915308,969336,1007696,994936,1004108,975568,975912,995024,972580,985436,1016676,1004028,1073976,1108004,1159372,1206328,1314804,1341268,1339460,1285856,1351316,1405644,1420168,1401896,1389960,1407796,1440380,1438996,1367516,1386600,1420932,1458144,1582832,1635836,1677248,1743932,1877204,1898144,1922268,1973044,2115108,2160056,2195584,2257584,2117348,2136048,2180392,2229052,2237580,2307496,2350548,2379604,2293916,2333904,2376996,2419696,2695232,2719544,2781408,2859860,2981140,3057932,3114008,3185284,3089884,3195852,3210460,3279896,3270004,3358860,3423340,3395112
 "16000","Idaho",7,SQINC5S,81,"[01-02]"," Farm earnings","Thousands of dollars",177760,158576,163116,162476,163500,161044,157584,174992,175000,161844,148748,149720,157316,156884,156596,163656,153056,170304,168280,177960,181472,168820,181300,168468,134516,130520,121824,153296,219240,224308,240948,245408,219316,178556,161460,160880,180464,186892,233124,226372,202588,189576,175040,175836,218256,270716,250360,270960,282136,256712,276392,250860,250900,243612,239452,262532,252380,303356,343384,382748,330912,397928,469480,614060,698288,590576,631352,592196,373312,360084,388052,426092,401208,370716,298856,299252,204928,193324,225640,335820,256448,317248,320356,338564,272744,165328,218984,273484,408900,258692,398036,564468,403160,430272,488840,384948,364276,365608,388264,455200,820796,615336,424760,473348,492848,509060,492828,508640,487936,459436,434668,450896,418916,436592,526900,534800,547744,597596,609532,620728,746748,668664,739160,525300,945888,860324,817936,899468,1090184,1032700,956084,922492,848572,863280,732216,870712,843372,860716,924076,872784,1005368,1194200,887344,1251288,850356,788504,777072,700900,769148,760616,846112,999452,974748,1087140,868644,879252,780872,703628,774764,765772,970402,928702,920366,1006438,1148909,990217,962077,922069,922604,1044316,1016688,1069960,1127228,1129808,1139456,1109204
