GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "11000","District of Columbia",2,SQINC5S,10,"...","Personal income (thousands of dollars, seasonally adjusted)","Thousands of dollars",2202620,2285700,2306876,2371960,2294392,2356376,2363088,2439676,2333964,2381528,2403608,2442652,2477080,2496460,2535188,2561040,2654288,2685928,2725400,2771116,2807052,2843544,2905356,2951020,2998360,3021840,3091656,3104988,3202144,3233548,3337260,3390080,3362424,3357924,3438700,3586404,3546924,3688132,3743140,3749976,3730740,3858664,3889068,3982856,3649988,3707008,3792592,3904448,4003208,4126616,4219960,4347864,4442760,4599668,4713036,4832576,4866512,4985500,5072504,5249424,5270400,5281528,5325536,5386976,5471388,5678680,5868528,6056308,6067336,6221208,6349632,6460560,6472912,6548028,6708420,6862964,6868152,7075272,7212924,7393816,7362184,7528068,7680908,7846544,7745032,7904292,8076560,8286112,8151792,8357388,8516716,8763828,8890528,8979204,9233632,9272900,9463268,9635032,9755908,9922172,9984180,10098472,10239428,10448644,10714900,10975300,11311328,11503604,11639852,11680208,11808796,11996992,12225940,12331644,12445716,12593704,12717420,12905748,13161084,13530720,13731260,14083436,14594952,14829568,14941088,15084532,15188028,15396448,15510488,15743452,15935732,16082868,16226820,16451824,16598024,16870456,17085552,17335236,17501700,17554796,18023200,18040920,18084960,18117772,18225304,18479660,18562068,18671268,18581996,18655348,18600176,18646728,19097816,19175364,19476700,19799492,19965548,20125180,20421040,20650176,21052508,21400204,21797808,21884168,22060212,22292064,22711036,23174008,24357376,24561996,24858436,25400284,25379320,25653896,25712664,25963976
 "11000","District of Columbia",2,SQINC5S,35,"..."," Earnings by place of work","Thousands of dollars",2802620,2917564,2919292,3001416,2972476,3062360,3049612,3172436,3161652,3244120,3272444,3340784,3405868,3428800,3477244,3502492,3655940,3684120,3734520,3797860,3888944,3956652,4056996,4117668,4217984,4243668,4358892,4356152,4495376,4528568,4695180,4806436,4878108,4848996,4996988,5256196,5366272,5684036,5779380,5773540,5859540,6083880,6106624,6266984,6275496,6347868,6494892,6719144,6920888,6998196,7084444,7259032,7402404,7649804,7856512,8080244,8119252,8356160,8427532,8662600,9042540,8913228,8858848,8848484,9113380,9474128,9807044,10105148,10238536,10496148,10771168,10886484,11214456,11310932,11537596,11789228,11948844,12347028,12504852,12826472,13203752,13425628,13699344,13986620,14317616,14583012,14817320,15125832,15348984,16001436,16193732,16457224,16987448,17008432,17228460,17236008,17651720,17942820,18147856,18452408,18537956,18807672,18999556,19368852,20037284,20386288,20906428,21236184,21725388,21765108,22169012,22611008,23111376,23096480,23288068,23578456,23994632,24385084,24918252,25775804,26152156,27003264,28155956,28303708,28599980,28850576,29023228,29545920,30242700,30903688,31256616,31589396,31912348,32501768,32868848,33429836,34202704,34511188,34833116,34541664,35911800,35630376,35485444,35543292,36160756,36609124,36635348,36330248,36453024,36897608,36645616,36801944,37376620,36605324,37235272,37957792,38211568,38286504,38923728,38936700,39925280,40232140,41302640,41081444,42457552,43473408,44647284,45689792,46474800,46010768,46312036,48202576,48929008,49796112,50439972,50937792
 "11000","District of Columbia",2,SQINC5S,36,"..."," Less: Contributions for government social insurance 2/","Thousands of dollars",76988,79888,79156,79648,90080,90820,88668,89784,100348,100972,101616,103208,108152,108452,107844,105672,114960,113316,114132,116976,134760,138304,141124,140900,137964,134808,135340,133908,136880,137980,142576,145748,182660,180612,187796,193872,203108,216964,219620,220800,229904,237472,238200,241904,247812,249092,255372,263760,272928,277104,276632,277724,295472,299268,301512,309552,340144,346488,347464,348460,434456,416920,409592,406796,443584,467140,486604,502568,512524,520876,530152,534008,576244,573048,576296,580104,604236,615096,612224,616692,652620,663024,679024,701420,739976,766364,787708,812180,824736,858600,879404,900748,1001324,1009616,1020284,1008628,1034684,1052152,1083796,1137052,1236656,1290556,1317484,1346464,1431116,1445716,1482244,1527520,1621044,1653852,1709600,1765072,1827088,1839948,1878588,1922812,1965384,2001128,2046296,2112416,2199308,2277152,2378980,2424696,2482972,2539560,2575780,2623792,2687324,2728668,2781684,2837936,2849020,2921800,2965548,3022800,3113516,3139740,3164756,3078428,3328900,3263316,3255788,3245004,3391476,3416304,3430244,3419820,3446524,3507052,3486040,3496788,3528108,3446736,3513460,3597304,3617744,3637624,3705304,3703032,3684172,3699552,3802720,3783040,3940544,4041700,4140876,4212920,4256612,4195308,4267764,4520180,4714604,4890312,5008592,5075060
 "11000","District of Columbia",2,SQINC5S,37,"...","  Employee and self-employed contributions for government social insurance","Thousands of dollars",28916,29888,30064,30612,34616,35680,35224,36168,41484,42028,42412,43020,44304,44296,44404,44132,46912,46884,47664,48984,57900,59152,60100,59760,59644,57928,58120,57192,59056,59548,62376,64556,85420,84492,89648,91908,96188,103220,103876,104392,108716,114528,114652,116944,112920,113388,115652,119092,122912,122836,122140,121476,127576,128252,128584,130848,142504,145484,145440,146988,181488,176412,174084,173404,189068,196676,203512,207664,210972,213036,215264,213592,226504,224176,225516,227180,236820,242028,241432,244012,256904,261032,268432,278464,295252,306400,315936,325744,330008,344552,355156,366344,409808,414656,422424,421376,433352,444032,461368,488772,532648,558972,572500,582012,609860,614584,633088,655872,710740,730772,759712,787396,817280,823508,840264,860504,885468,903564,924612,955088,1001608,1035940,1088048,1107124,1145100,1171384,1187244,1211744,1243668,1264396,1286196,1303448,1319712,1348964,1365208,1385732,1419680,1427308,1439420,1400964,1520672,1495140,1496864,1496424,1568092,1583936,1594840,1591140,1614152,1643892,1636484,1644872,1662752,1625196,1659480,1701432,1713364,1721636,1754600,1753072,1753780,1763672,1813940,1803428,1886952,1936080,1985416,2021000,2041608,2017960,2043880,2167932,2252968,2333048,2381184,2407420
 "11000","District of Columbia",2,SQINC5S,38,"...","  Employer contributions for government social insurance","Thousands of dollars",48072,50000,49092,49036,55464,55140,53444,53616,58864,58944,59204,60188,63848,64156,63440,61540,68048,66432,66468,67992,76860,79152,81024,81140,78320,76880,77220,76716,77824,78432,80200,81192,97240,96120,98148,101964,106920,113744,115744,116408,121188,122944,123548,124960,134892,135704,139720,144668,150016,154268,154492,156248,167896,171016,172928,178704,197640,201004,202024,201472,252968,240508,235508,233392,254516,270464,283092,294904,301552,307840,314888,320416,349740,348872,350780,352924,367416,373068,370792,372680,395716,401992,410592,422956,444724,459964,471772,486436,494728,514048,524248,534404,591516,594960,597860,587252,601332,608120,622428,648280,704008,731584,744984,764452,821256,831132,849156,871648,910304,923080,949888,977676,1009808,1016440,1038324,1062308,1079916,1097564,1121684,1157328,1197700,1241212,1290932,1317572,1337872,1368176,1388536,1412048,1443656,1464272,1495488,1534488,1529308,1572836,1600340,1637068,1693836,1712432,1725336,1677464,1808228,1768176,1758924,1748580,1823384,1832368,1835404,1828680,1832372,1863160,1849556,1851916,1865356,1821540,1853980,1895872,1904380,1915988,1950704,1949960,1930392,1935880,1988780,1979612,2053592,2105620,2155460,2191920,2215004,2177348,2223884,2352248,2461636,2557264,2627408,2667640
 "11000","District of Columbia",2,SQINC5S,42,"..."," Plus: Adjustment for residence 3/","Thousands of dollars",-1065468,-1116260,-1113856,-1146080,-1163440,-1202204,-1197008,-1253164,-1344984,-1386640,-1400384,-1433556,-1468200,-1473460,-1491484,-1499548,-1551792,-1563200,-1585760,-1609848,-1655824,-1682848,-1726164,-1750124,-1815772,-1824056,-1878060,-1872564,-1931496,-1943448,-2020548,-2070936,-2138180,-2116796,-2184452,-2310616,-2474504,-2637848,-2683012,-2673416,-2784888,-2896032,-2901764,-2982344,-3271748,-3303356,-3379220,-3510420,-3641080,-3666888,-3710048,-3809920,-3889156,-4025268,-4143200,-4271356,-4287432,-4428928,-4456848,-4588840,-4841568,-4753272,-4702360,-4678032,-4834796,-5032760,-5222580,-5384600,-5530264,-5691516,-5841996,-5883964,-6166476,-6208120,-6320648,-6448012,-6608532,-6820404,-6876184,-7065544,-7500676,-7603324,-7772464,-7923896,-8379340,-8523784,-8642584,-8823512,-9287192,-9735500,-9842848,-9971256,-10335732,-10344384,-10464536,-10478412,-10728200,-10894444,-10987972,-11127448,-11069360,-11180796,-11239856,-11447656,-11835808,-12023116,-12312256,-12487220,-12757888,-12722988,-12934272,-13180552,-13451520,-13383128,-13463408,-13599304,-13831720,-14025072,-14308560,-14820308,-14975764,-15509116,-16224844,-16267936,-16596916,-16753932,-16825476,-17106604,-17569484,-17955608,-18108728,-18299364,-18442016,-18801156,-19032324,-19396504,-19933580,-20079456,-20264904,-20090328,-20855752,-20651192,-20537444,-20553136,-20919828,-21168452,-21132284,-20863964,-20954548,-21212264,-21007712,-21077880,-21253260,-20620812,-20968188,-21384564,-21541796,-21519940,-21885348,-21781668,-22508616,-22578292,-23187848,-22889452,-23849988,-24531072,-25247076,-25868308,-25553472,-25091728,-25098496,-26198972,-26653320,-27078400,-27438544,-27728920
 "11000","District of Columbia",2,SQINC5S,45,"..."," Equals: Net earnings by place of residence","Thousands of dollars",1660164,1721416,1726280,1775688,1718956,1769336,1763936,1829488,1716320,1756508,1770444,1804020,1829516,1846888,1877916,1897272,1989188,2007604,2034628,2071036,2098360,2135500,2189708,2226644,2264248,2284804,2345492,2349680,2427000,2447140,2532056,2589752,2557268,2551588,2624740,2751708,2688660,2829224,2876748,2879324,2844748,2950376,2966660,3042736,2755936,2795420,2860300,2944964,3006880,3054204,3097764,3171388,3217776,3325268,3411800,3499336,3491676,3580744,3623220,3725300,3766516,3743036,3746896,3763656,3835000,3974228,4097860,4217980,4195748,4283756,4399020,4468512,4471736,4529764,4640652,4761112,4736076,4911528,5016444,5144236,5050456,5159280,5247856,5361304,5198300,5292864,5387028,5490140,5237056,5407336,5471480,5585220,5650392,5654432,5743640,5748968,5888836,5996224,6076088,6187908,6231940,6336320,6442216,6574732,6770360,6917456,7111928,7221444,7346456,7388268,7525140,7665384,7832768,7873404,7946072,8056340,8197528,8358884,8563396,8843080,8977084,9216996,9552132,9611076,9520092,9557084,9621972,9815524,9985892,10219412,10366204,10452096,10621312,10778812,10870976,11010532,11155608,11291992,11403456,11372908,11727148,11715868,11692212,11745152,11849452,12024368,12072820,12046464,12051952,12178292,12151864,12227276,12595252,12537776,12753624,12975924,13052028,13128940,13333076,13452000,13732492,13954296,14312072,14408952,14667020,14900636,15259332,15608564,16664716,16723732,16945776,17483424,17561084,17827400,17992836,18133812
 "11000","District of Columbia",2,SQINC5S,46,"..."," Plus: Dividends, interest, and rent 4/","Thousands of dollars",447876,458512,469464,482992,471504,478440,487744,498428,506936,513596,521016,523880,524264,527244,532180,541024,539788,553428,563864,570008,570740,575668,582996,589288,593500,599076,606672,614104,626820,640576,648960,648884,650272,652612,656116,661644,673300,671448,671716,668696,672412,680212,687324,698840,665740,678192,695872,719628,740160,770700,809708,839532,879636,899000,918252,937400,957824,972764,1002856,1032508,1003204,1030464,1066100,1096204,1081884,1123492,1161620,1202324,1191152,1182628,1194748,1219568,1213448,1261920,1301120,1330748,1343848,1368976,1406312,1463560,1510796,1568120,1616272,1655716,1697492,1723936,1759984,1838296,1925796,1965260,1981972,2091616,2139452,2211736,2330500,2342948,2346364,2396208,2396024,2403548,2424124,2434128,2488248,2526532,2559216,2637944,2772092,2849780,2861540,2878336,2873508,2915100,2953256,2993444,3012236,3040832,3020796,3036492,3077480,3151632,3157564,3234928,3393608,3575136,3763468,3896992,3952476,3946152,3837496,3804720,3807928,3824300,3757528,3754772,3778744,3793728,3818104,3866548,3888468,3944400,3973592,3964212,3941096,3915908,3908332,4000220,4085360,4197072,4116464,4103256,4086012,4095696,4013356,4043116,4116936,4209460,4334264,4452164,4532144,4596572,4624488,4705704,4738440,4703132,4640268,4674468,4722532,4820556,4936524,5026040,5065940,5065620,4978012,4921016,4851480,4782884
 "11000","District of Columbia",2,SQINC5S,47,"..."," Plus: Personal current transfer receipts","Thousands of dollars",94580,105772,111132,113280,103932,108600,111408,111760,110708,111424,112148,114752,123300,122328,125092,122744,125312,124896,126908,130072,137952,132376,132652,135088,140612,137960,139492,141204,148324,145832,156244,151444,154884,153724,157844,173052,184964,187460,194676,201956,213580,228076,235084,241280,228312,233396,236420,239856,256168,301712,312488,336944,345348,375400,382984,395840,417012,431992,446428,491616,500680,508028,512540,527116,554504,580960,609048,636004,680436,754824,755864,772480,787728,756344,766648,771104,788228,794768,790168,786020,800932,800668,816780,829524,849240,887492,929548,957676,988940,984792,1063264,1086992,1100684,1113036,1159492,1180984,1228068,1242600,1283796,1330716,1328116,1328024,1308964,1347380,1385324,1419900,1427308,1432380,1431856,1413604,1410148,1416508,1439916,1464796,1487408,1496532,1499096,1510372,1520208,1536008,1596612,1631512,1649212,1643356,1657528,1630456,1613580,1634772,1687100,1719320,1761600,1806472,1847980,1918240,1948304,2066196,2111840,2176696,2209776,2237488,2322460,2360840,2451652,2456712,2467520,2455072,2403888,2427732,2413580,2373800,2362300,2323756,2489208,2594472,2606140,2614108,2579256,2544076,2555820,2601604,2695528,2740204,2747296,2772084,2752924,2716960,2729172,2744888,2756136,2812224,2846720,2851240,2840224,2905480,2868348,3047280
 "11000","District of Columbia",2,SQINC5S,50,"..."," Wages and salaries","Thousands of dollars",2337872,2431808,2437088,2504368,2467820,2545084,2533120,2638696,2634640,2708716,2733328,2785968,2831680,2850252,2887808,2906472,3040156,3061944,3097824,3141048,3210296,3263580,3342396,3387384,3471464,3492976,3595748,3603828,3742344,3777728,3923592,4012784,4054652,4033276,4161744,4383580,4479692,4747632,4829480,4830424,4904480,5096600,5106272,5240452,5198640,5255392,5376776,5562024,5719944,5758728,5793716,5891476,5951472,6119884,6261760,6444512,6461320,6666608,6732100,6929404,7264236,7144164,7074324,7059764,7262532,7553760,7823116,8027472,8063188,8231836,8438928,8509576,8759864,8818232,8970252,9117932,9214920,9499760,9591704,9847864,10129124,10325840,10554772,10774376,11016204,11207636,11388256,11640656,11829124,12343392,12472440,12685404,13051800,13084288,13269284,13288696,13626384,13840708,13984348,14196892,14241616,14451524,14600712,14920612,15418260,15682284,16061444,16302260,16667392,16681432,16994504,17356916,17762868,17743424,17949084,18264520,18690612,19032352,19464244,20186468,20321196,21021552,21923000,22023016,22371216,22550972,22651472,23047420,23544712,24080704,24290760,24471668,24545760,24962348,25198208,25593692,26086340,26265020,26487120,26339152,27246216,27085576,26996668,27092852,27575204,27970388,27993620,27769116,27927528,28301500,28085096,28177184,28610732,27922372,28398536,28938132,29010324,29012852,29498384,29495000,30249316,30415944,31234816,30964136,32111928,32869448,33750572,34556608,35319748,34853332,34995868,36432424,36884072,37495208,37860300,38185816
 "11000","District of Columbia",2,SQINC5S,60,"..."," Supplements to wages and salaries","Thousands of dollars",320072,338336,331956,343184,345644,353468,349268,365128,363200,373192,377784,390612,402700,400108,404068,403660,422752,428544,440456,452616,471152,481024,495368,504960,517084,516220,526756,514788,516936,510052,528172,544736,571976,560924,576540,607108,618784,666432,675152,668500,673276,699316,708756,733896,769384,783112,803840,842488,888944,918056,958588,1027456,1105228,1174020,1231528,1268456,1291884,1321808,1323892,1358832,1421564,1421228,1435548,1439648,1483696,1539416,1590068,1669424,1744820,1824956,1880800,1908104,1979884,2004980,2053848,2114852,2154008,2222056,2249652,2300992,2388500,2411812,2465884,2526220,2607772,2672352,2718996,2774028,2812568,2955528,3015188,3058704,3214992,3229156,3247340,3232032,3327188,3378728,3427768,3499324,3545360,3582360,3591484,3625488,3759480,3814828,3914816,3994900,4096524,4123696,4195464,4271236,4344800,4335192,4323640,4308256,4254524,4264936,4314176,4411924,4532052,4686964,4911148,4976756,5098492,5220600,5282820,5371684,5510396,5576684,5644292,5767184,5842456,5996772,6127568,6308132,6501888,6585664,6667372,6524036,6808780,6672056,6620856,6579856,6743728,6765136,6747000,6636508,6651940,6705704,6656588,6697788,6796852,6643780,6744548,6886796,6929896,6969520,7090968,7065912,7094640,7138024,7300772,7267072,7469900,7672172,7910296,8088532,8202568,8097556,8163760,8467436,8538668,8704220,8898556,9071616
 "11000","District of Columbia",2,SQINC5S,61,"...","  Employer contributions for employee pension and insurance funds 5/","Thousands of dollars",272000,288336,282864,294148,290180,298328,295824,311512,304336,314248,318580,330424,338852,335952,340628,342120,354704,362112,373988,384624,394292,401872,414344,423820,438764,439340,449536,438072,439112,431620,447972,463544,474736,464804,478392,505144,511864,552688,559408,552092,552088,576372,585208,608936,634492,647408,664120,697820,738928,763788,804096,871208,937332,1003004,1058600,1089752,1094244,1120804,1121868,1157360,1168596,1180720,1200040,1206256,1229180,1268952,1306976,1374520,1443268,1517116,1565912,1587688,1630144,1656108,1703068,1761928,1786592,1848988,1878860,1928312,1992784,2009820,2055292,2103264,2163048,2212388,2247224,2287592,2317840,2441480,2490940,2524300,2623476,2634196,2649480,2644780,2725856,2770608,2805340,2851044,2841352,2850776,2846500,2861036,2938224,2983696,3065660,3123252,3186220,3200616,3245576,3293560,3334992,3318752,3285316,3245948,3174608,3167372,3192492,3254596,3334352,3445752,3620216,3659184,3760620,3852424,3894284,3959636,4066740,4112412,4148804,4232696,4313148,4423936,4527228,4671064,4808052,4873232,4942036,4846572,5000552,4903880,4861932,4831276,4920344,4932768,4911596,4807828,4819568,4842544,4807032,4845872,4931496,4822240,4890568,4990924,5025516,5053532,5140264,5115952,5164248,5202144,5311992,5287460,5416308,5566552,5754836,5896612,5987564,5920208,5939876,6115188,6077032,6146956,6271148,6403976
 "11000","District of Columbia",2,SQINC5S,62,"...","  Employer contributions for government social insurance","Thousands of dollars",48072,50000,49092,49036,55464,55140,53444,53616,58864,58944,59204,60188,63848,64156,63440,61540,68048,66432,66468,67992,76860,79152,81024,81140,78320,76880,77220,76716,77824,78432,80200,81192,97240,96120,98148,101964,106920,113744,115744,116408,121188,122944,123548,124960,134892,135704,139720,144668,150016,154268,154492,156248,167896,171016,172928,178704,197640,201004,202024,201472,252968,240508,235508,233392,254516,270464,283092,294904,301552,307840,314888,320416,349740,348872,350780,352924,367416,373068,370792,372680,395716,401992,410592,422956,444724,459964,471772,486436,494728,514048,524248,534404,591516,594960,597860,587252,601332,608120,622428,648280,704008,731584,744984,764452,821256,831132,849156,871648,910304,923080,949888,977676,1009808,1016440,1038324,1062308,1079916,1097564,1121684,1157328,1197700,1241212,1290932,1317572,1337872,1368176,1388536,1412048,1443656,1464272,1495488,1534488,1529308,1572836,1600340,1637068,1693836,1712432,1725336,1677464,1808228,1768176,1758924,1748580,1823384,1832368,1835404,1828680,1832372,1863160,1849556,1851916,1865356,1821540,1853980,1895872,1904380,1915988,1950704,1949960,1930392,1935880,1988780,1979612,2053592,2105620,2155460,2191920,2215004,2177348,2223884,2352248,2461636,2557264,2627408,2667640
 "11000","District of Columbia",2,SQINC5S,70,"..."," Proprietors' income 6/","Thousands of dollars",144676,147420,150248,153864,159012,163808,167224,168612,163812,162212,161332,164204,171488,178440,185368,192360,193032,193632,196240,204196,207496,212048,219232,225324,229436,234472,236388,237536,236096,240788,243416,248916,251480,254796,258704,265508,267796,269972,274748,274616,281784,287964,291596,292636,307472,309364,314276,314632,312000,321412,332140,340100,345704,355900,363224,367276,366048,367744,371540,374364,356740,347836,348976,349072,367152,380952,393860,408252,430528,439356,451440,468804,474708,487720,513496,556444,579916,625212,663496,677616,686128,687976,678688,686024,693640,703024,710068,711148,707292,702516,706104,713116,720656,694988,711836,715280,698148,723384,735740,756192,750980,773788,807360,822752,859544,889176,930168,939024,961472,959980,979044,982856,1003708,1017864,1015344,1005680,1049496,1087796,1139832,1177412,1298908,1294748,1321808,1303936,1130272,1079004,1088936,1126816,1187592,1246300,1321564,1350544,1524132,1542648,1543072,1528012,1614476,1660504,1678624,1678476,1856804,1872744,1867920,1870584,1841824,1873600,1894728,1924624,1873556,1890404,1903932,1926972,1969036,2039172,2092188,2132864,2271348,2304132,2334376,2375788,2581324,2678172,2767052,2850236,2875724,2931788,2986416,3044652,2952484,3059880,3152408,3302716,3506268,3596684,3681116,3680360
 "11000","District of Columbia",2,SQINC5S,71,"...","  Farm proprietors' income","Thousands of dollars",52,56,56,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SQINC5S,72,"...","  Nonfarm proprietors' income","Thousands of dollars",144624,147364,150192,153824,159012,163808,167224,168612,163812,162212,161332,164204,171488,178440,185368,192360,193032,193632,196240,204196,207496,212048,219232,225324,229436,234472,236388,237536,236096,240788,243416,248916,251480,254796,258704,265508,267796,269972,274748,274616,281784,287964,291596,292636,307472,309364,314276,314632,312000,321412,332140,340100,345704,355900,363224,367276,366048,367744,371540,374364,356740,347836,348976,349072,367152,380952,393860,408252,430528,439356,451440,468804,474708,487720,513496,556444,579916,625212,663496,677616,686128,687976,678688,686024,693640,703024,710068,711148,707292,702516,706104,713116,720656,694988,711836,715280,698148,723384,735740,756192,750980,773788,807360,822752,859544,889176,930168,939024,961472,959980,979044,982856,1003708,1017864,1015344,1005680,1049496,1087796,1139832,1177412,1298908,1294748,1321808,1303936,1130272,1079004,1088936,1126816,1187592,1246300,1321564,1350544,1524132,1542648,1543072,1528012,1614476,1660504,1678624,1678476,1856804,1872744,1867920,1870584,1841824,1873600,1894728,1924624,1873556,1890404,1903932,1926972,1969036,2039172,2092188,2132864,2271348,2304132,2334376,2375788,2581324,2678172,2767052,2850236,2875724,2931788,2986416,3044652,2952484,3059880,3152408,3302716,3506268,3596684,3681116,3680360
 "11000","District of Columbia",2,SQINC5S,81,"[01-02]"," Farm earnings","Thousands of dollars",64,72,72,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SQINC5S,82,"..."," Nonfarm earnings","Thousands of dollars",2802556,2917492,2919220,3001360,2972476,3062360,3049612,3172436,3161652,3244120,3272444,3340784,3405868,3428800,3477244,3502492,3655940,3684120,3734520,3797860,3888944,3956652,4056996,4117668,4217984,4243668,4358892,4356152,4495376,4528568,4695180,4806436,4878108,4848996,4996988,5256196,5366272,5684036,5779380,5773540,5859540,6083880,6106624,6266984,6275496,6347868,6494892,6719144,6920888,6998196,7084444,7259032,7402404,7649804,7856512,8080244,8119252,8356160,8427532,8662600,9042540,8913228,8858848,8848484,9113380,9474128,9807044,10105148,10238536,10496148,10771168,10886484,11214456,11310932,11537596,11789228,11948844,12347028,12504852,12826472,13203752,13425628,13699344,13986620,14317616,14583012,14817320,15125832,15348984,16001436,16193732,16457224,16987448,17008432,17228460,17236008,17651720,17942820,18147856,18452408,18537956,18807672,18999556,19368852,20037284,20386288,20906428,21236184,21725388,21765108,22169012,22611008,23111376,23096480,23288068,23578456,23994632,24385084,24918252,25775804,26152156,27003264,28155956,28303708,28599980,28850576,29023228,29545920,30242700,30903688,31256616,31589396,31912348,32501768,32868848,33429836,34202704,34511188,34833116,34541664,35911800,35630376,35485444,35543292,36160756,36609124,36635348,36330248,36453024,36897608,36645616,36801944,37376620,36605324,37235272,37957792,38211568,38286504,38923728,38936700,39925280,40232140,41302640,41081444,42457552,43473408,44647284,45689792,46474800,46010768,46312036,48202576,48929008,49796112,50439972,50937792
