GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "16000","Idaho",7,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",16945384,17149756,17381412,17724500,18090488,18290992,18609776,19298580,20088716,20494720,20451088,20937036,20884712,21004432,20958600,20907456,21258348,21399320,21685464,21956156,22134216,22141964,22460516,22698132,23219700,23800620,24238684,24558520,25109780,25379176,26012932,26472868,27610140,28349988,28291500,29350616,29788288,29947892,29928544,30286796,30096412,30151140,29969528,29587056,28808280,28485404,28579708,28575440,28601664,28880164,29066580,29152608,29225352,29260488,29481136,29297072,29610260,29847836,30221604,30657336,31168368,31725244,31874836,32353572,32544376,32680316,33045628,33879472,34466508,34593752,35139972,35339728,35991236,36911572,37382204,37454820,38092932,38996620,39559340,40471332,41127684,41580892,42084612,42816172,43380741,43964099
 "16000","Idaho",7,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",13719536,13875488,14073800,14372068,14693268,14855976,15129288,15683064,16344188,16654976,16589764,17012884,16967576,17063644,17003092,16955704,17199236,17322908,17535744,17715996,17811504,17806268,18056384,18263896,18631680,19124692,19483864,19732556,20171952,20375792,20867724,21200068,22124516,22664832,22603904,23468112,23883828,23996640,23957368,24253220,24083128,24105216,23963788,23661480,22957868,22716592,22775444,22751436,22634368,22885472,23069456,23190692,23311020,23391792,23637072,23503564,23828128,24005620,24241072,24529980,24787892,25162584,25277400,25786688,26296056,26393844,26654296,27301032,27669168,27682988,28040152,28143344,28655220,29392284,29765012,29869548,30482016,31248288,31761564,32510824,33084168,33417124,33837704,34427920,34927288,35402203
 "16000","Idaho",7,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",3225848,3274268,3307612,3352432,3397220,3435016,3480488,3615516,3744528,3839744,3861324,3924152,3917136,3940788,3955508,3951752,4059112,4076412,4149720,4240160,4322712,4335696,4404132,4434236,4588020,4675928,4754820,4825964,4937828,5003384,5145208,5272800,5485624,5685156,5687596,5882504,5904460,5951252,5971176,6033576,6013284,6045924,6005740,5925576,5850412,5768812,5804264,5824004,5967296,5994692,5997124,5961916,5914332,5868696,5844064,5793508,5782132,5842216,5980532,6127356,6380476,6562660,6597436,6566884,6248320,6286472,6391332,6578440,6797340,6910764,7099820,7196384,7336016,7519288,7617192,7585272,7610916,7748332,7797776,7960508,8043516,8163768,8246908,8388252,8453453,8561896
 "16000","Idaho",7,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",1941320,1979812,2001464,2031496,2063312,2096748,2125920,2219144,2290912,2363492,2391008,2419688,2419924,2442640,2467148,2470900,2557176,2560088,2614460,2687308,2741488,2756208,2808072,2830536,2940736,3000516,3055444,3108996,3166700,3211484,3304104,3391184,3515052,3663072,3666376,3795736,3801632,3851780,3880160,3913948,3913660,3943496,3908356,3848520,3818596,3736684,3737844,3721132,3773304,3756060,3749656,3730656,3654664,3638812,3614144,3583352,3529188,3572748,3696428,3825896,4077668,4232648,4271784,4216508,3897096,3933704,4017728,4150944,4350528,4461216,4619820,4709396,4813980,4934560,5003596,4962892,4939936,5017864,5036528,5152520,5231536,5341820,5401468,5504340,5515503,5586569
 "16000","Idaho",7,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",1284528,1294456,1306148,1320936,1333908,1338268,1354568,1396372,1453616,1476252,1470316,1504464,1497212,1498148,1488360,1480852,1501936,1516324,1535260,1552852,1581224,1579488,1596060,1603700,1647284,1675412,1699376,1716968,1771128,1791900,1841104,1881616,1970572,2022084,2021220,2086768,2102828,2099472,2091016,2119628,2099624,2102428,2097384,2077056,2031816,2032128,2066420,2102872,2193992,2238632,2247468,2231260,2259668,2229884,2229920,2210156,2252944,2269468,2284104,2301460,2302808,2330012,2325652,2350376,2351224,2352768,2373604,2427496,2446812,2449548,2480000,2486988,2522036,2584728,2613596,2622380,2670980,2730468,2761248,2807988,2811980,2821948,2845440,2883912,2937950,2975327
 "16000","Idaho",7,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",355572,351968,349056,348848,349692,350964,356724,364784,380436,392596,402808,410480,401052,407664,410676,409948,465540,460672,456720,453376,412164,413752,419764,430232,454996,465240,470036,469576,542112,535772,530012,524704,517648,521940,535000,557104,616208,640952,657848,666216,615484,614060,611368,607672,676392,671716,668496,666184,616396,608304,594412,574752,580968,575704,591344,628424,634776,671332,690756,692928,756668,749376,750524,759416,785360,787724,778972,758860,616444,603040,601816,612788,691924,711340,723924,730088,789764,790604,792276,794888,847008,854532,865212,880120,896461,908097
 "16000","Idaho",7,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",16589812,16797788,17032356,17375652,17740796,17940028,18253052,18933796,19708280,20102124,20048280,20526556,20483660,20596768,20547924,20497508,20792808,20938648,21228744,21502780,21722052,21728212,22040752,22267900,22764704,23335380,23768648,24088944,24567668,24843404,25482920,25948164,27092492,27828048,27756500,28793512,29172080,29306940,29270696,29620580,29480928,29537080,29358160,28979384,28131888,27813688,27911212,27909256,27985268,28271860,28472168,28577856,28644384,28684784,28889792,28668648,28975484,29176504,29530848,29964408,30411700,30975868,31124312,31594156,31759016,31892592,32266656,33120612,33850064,33990712,34538156,34726940,35299312,36200232,36658280,36724732,37303168,38206016,38767064,39676444,40280676,40726360,41219400,41936052,42484280,43056002
 "16000","Idaho",7,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",12883136,12975492,13188244,13459796,13722936,13837756,14240628,14732084,15446476,15802644,15584860,16187196,16075448,16075348,15919884,15812420,16054472,16155548,16409880,16652708,16781144,16729448,16964792,17225992,17504232,18039428,18316352,18607996,19125300,19396568,19885012,20186848,21401248,21908816,21976556,22844128,23235672,23250840,23193000,23503552,23280980,23280620,23075092,22573640,21761568,21350112,21462572,21408344,21478756,21732492,21995692,22105404,22334976,22212524,22429628,22330740,22561772,22783428,22989560,23299668,23724720,24281948,24437204,24976892,25162592,25228588,25494200,26365796,26821424,26931664,27286332,27446172,28086052,28986824,29175028,29180912,29853192,30465880,31142252,31804956,32409184,32665204,33114564,33739528,34201947,34688570
 "16000","Idaho",7,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",229892,227652,229612,229296,232176,224596,225164,216716,195812,190128,227040,280036,227448,208948,198820,198376,215340,212976,217548,231448,213500,217052,229248,236104,247736,259884,260160,261204,264368,257292,246560,255672,275368,280844,274012,275816,263524,281864,281220,269064,255560,252380,272084,282684,254388,259188,261636,252492,270096,276468,256908,266240,283636,260184,268512,293428,274556,273144,298796,286552,307056,311456,289652,302900,320504,314876,329616,335220,334488,346492,369008,364468,368020,369376,355732,361228,363324,369056,375760,373600,376264,388256,397060,396508,393804,401257
 "16000","Idaho",7,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",131884,131060,124036,124108,120352,114972,111272,113104,114052,116052,117496,111020,104976,102140,93208,86468,83308,89444,87456,82092,94756,92632,93300,106980,103332,100052,118044,111504,109776,110612,153500,113936,132768,169720,141256,159212,169568,175772,187248,192976,195240,204656,191812,216212,150932,150828,151568,152856,203404,163420,185448,189216,212012,203660,219164,203788,212872,254020,219868,225752,220544,241792,225516,241984,219236,200852,224192,227636,224184,200956,191996,187152,220628,208300,211744,198904,192088,229148,192020,170152,227192,175364,187700,191100,185875,195205
