GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1958:Q1,1958:Q2,1958:Q3,1958:Q4,1959:Q1,1959:Q2,1959:Q3,1959:Q4,1960:Q1,1960:Q2,1960:Q3,1960:Q4,1961:Q1,1961:Q2,1961:Q3,1961:Q4,1962:Q1,1962:Q2,1962:Q3,1962:Q4,1963:Q1,1963:Q2,1963:Q3,1963:Q4,1964:Q1,1964:Q2,1964:Q3,1964:Q4,1965:Q1,1965:Q2,1965:Q3,1965:Q4,1966:Q1,1966:Q2,1966:Q3,1966:Q4,1967:Q1,1967:Q2,1967:Q3,1967:Q4,1968:Q1,1968:Q2,1968:Q3,1968:Q4,1969:Q1,1969:Q2,1969:Q3,1969:Q4,1970:Q1,1970:Q2,1970:Q3,1970:Q4,1971:Q1,1971:Q2,1971:Q3,1971:Q4,1972:Q1,1972:Q2,1972:Q3,1972:Q4,1973:Q1,1973:Q2,1973:Q3,1973:Q4,1974:Q1,1974:Q2,1974:Q3,1974:Q4,1975:Q1,1975:Q2,1975:Q3,1975:Q4,1976:Q1,1976:Q2,1976:Q3,1976:Q4,1977:Q1,1977:Q2,1977:Q3,1977:Q4,1978:Q1,1978:Q2,1978:Q3,1978:Q4,1979:Q1,1979:Q2,1979:Q3,1979:Q4,1980:Q1,1980:Q2,1980:Q3,1980:Q4,1981:Q1,1981:Q2,1981:Q3,1981:Q4,1982:Q1,1982:Q2,1982:Q3,1982:Q4,1983:Q1,1983:Q2,1983:Q3,1983:Q4,1984:Q1,1984:Q2,1984:Q3,1984:Q4,1985:Q1,1985:Q2,1985:Q3,1985:Q4,1986:Q1,1986:Q2,1986:Q3,1986:Q4,1987:Q1,1987:Q2,1987:Q3,1987:Q4,1988:Q1,1988:Q2,1988:Q3,1988:Q4,1989:Q1,1989:Q2,1989:Q3,1989:Q4,1990:Q1,1990:Q2,1990:Q3,1990:Q4,1991:Q1,1991:Q2,1991:Q3,1991:Q4,1992:Q1,1992:Q2,1992:Q3,1992:Q4,1993:Q1,1993:Q2,1993:Q3,1993:Q4,1994:Q1,1994:Q2,1994:Q3,1994:Q4,1995:Q1,1995:Q2,1995:Q3,1995:Q4,1996:Q1,1996:Q2,1996:Q3,1996:Q4,1997:Q1,1997:Q2,1997:Q3,1997:Q4,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4
 "38000","North Dakota",4,SQINC6S,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",522224,529640,535156,554048,572936,585896,586988,587692,602596,612160,622476,631104,636940,643900,639136,645872,669112,683224,719228,741196,749684,745092,750768,758700,768724,788948,823632,846492,841532,858320,882672,885112,898024,911756,912512,911452,921316,927812,936984,957824,983788,995976,1000652,1021728,1025836,1052860,1081464,1124640,1158856,1191156,1244632,1265112,1290076,1340796,1364360,1361712,1485796,1469424,1484088,1506136,1567012,1638308,1680844,1747808,1785488,1854184,1908992,1969508,2049892,2076740,2158284,2250920,2352792,2411100,2443680,2501792,2539728,2603176,2642084,2725632,2845292,2952476,3066360,3136476,3232128,3303120,3468764,3572400,3627580,3691852,3723392,3857620,3963456,4089392,4272596,4565092,4480444,4522084,4497988,4539012,4603848,4683948,4708284,4840220,4861012,4816868,4857896,4885248,4911040,4966344,4974032,5007072,4982416,4976156,5002388,5051664,5120840,5141876,5210792,5252284,5262760,5421668,5451588,5477256,5521260,5592548,5664220,5767396,5860404,5976444,6054128,6156864,6227788,6278508,6396144,6441644,6675100,6726168,6846308,6806088,7119020,7089648,7168352,7265548,7403708,7485316,7577548,7775640,7837208,7984204,7971164,8076820,8186132,8359100,8492064,8536028,8629940,8761632,8876408,9024852,9223320,9265116,9322448,9394564,9464404,9636216,9680392,9928776,10187340,10127660,10323604,10259164,10609892,10765276,10856180,10971180
 "38000","North Dakota",4,SQINC6S,5,"..."," Wages and salaries","Thousands of dollars",485460,492004,497692,515340,529580,541540,541296,541540,553300,561232,569876,576448,579552,585216,580588,587020,606660,619604,652276,671332,675440,669916,674128,680672,690492,709172,740636,760060,754428,767960,788612,790800,797452,810556,811344,809972,816816,820468,827464,844964,867268,878472,882552,901440,907516,931688,956404,994056,1021692,1048004,1094452,1110076,1127192,1170828,1189748,1185124,1290188,1272992,1285184,1306356,1350192,1415268,1452352,1510704,1538452,1599520,1647136,1697272,1760264,1781540,1854068,1936044,2020368,2072576,2101024,2150372,2175476,2229260,2264448,2338796,2435148,2531724,2630592,2692004,2771148,2829844,2970856,3057896,3104940,3154952,3178708,3295292,3387744,3491960,3641520,3872956,3811192,3843604,3816580,3842168,3876792,3939252,3956588,4070360,4069700,4035412,4068900,4089056,4100676,4142996,4144728,4167720,4142372,4127312,4142684,4180092,4243544,4259652,4316648,4356720,4354892,4491932,4512088,4526412,4557392,4603612,4652632,4732940,4801116,4897308,4960816,5037828,5083452,5121200,5210588,5238884,5417308,5450280,5538708,5515556,5743988,5729612,5792068,5877768,5978340,6059240,6137936,6307536,6367200,6491052,6486120,6575692,6672300,6823568,6938932,6980816,7071228,7185152,7285852,7413256,7562252,7599692,7654264,7727568,7799576,7944840,7968040,8161612,8357732,8281684,8432860,8366116,8642708,8758668,8819608,8908888
 "38000","North Dakota",4,SQINC6S,6,"..."," Supplements to wages and salaries","Thousands of dollars",36764,37636,37464,38708,43356,44356,45692,46152,49296,50928,52600,54656,57388,58684,58548,58852,62452,63620,66952,69864,74244,75176,76640,78028,78232,79776,82996,86432,87104,90360,94060,94312,100572,101200,101168,101480,104500,107344,109520,112860,116520,117504,118100,120288,118320,121172,125060,130584,137164,143152,150180,155036,162884,169968,174612,176588,195608,196432,198904,199780,216820,223040,228492,237104,247036,254664,261856,272236,289628,295200,304216,314876,332424,338524,342656,351420,364252,373916,377636,386836,410144,420752,435768,444472,460980,473276,497908,514504,522640,536900,544684,562328,575712,597432,631076,692136,669252,678480,681408,696844,727056,744696,751696,769860,791312,781456,788996,796192,810364,823348,829304,839352,840044,848844,859704,871572,877296,882224,894144,895564,907868,929736,939500,950844,963868,988936,1011588,1034456,1059288,1079136,1093312,1119036,1144336,1157308,1185556,1202760,1257792,1275888,1307600,1290532,1375032,1360036,1376284,1387780,1425368,1426076,1439612,1468104,1470008,1493152,1485044,1501128,1513832,1535532,1553132,1555212,1558712,1576480,1590556,1611596,1661068,1665424,1668184,1666996,1664828,1691376,1712352,1767164,1829608,1845976,1890744,1893048,1967184,2006608,2036572,2062292
 "38000","North Dakota",4,SQINC6S,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",22464,23204,23044,24072,25804,26708,28200,28968,29344,30992,32300,34276,36272,37492,37928,38444,39456,40548,42512,44248,45992,46796,48012,49024,50048,51016,52912,55336,56752,59472,62680,63620,64520,65188,65224,65152,66204,67628,68752,70620,72240,72992,73568,75132,72988,75072,77792,81192,85980,90312,94608,98712,102252,106596,111244,113944,120372,122624,125500,126596,128292,131764,136412,140916,144580,147944,151780,158452,169528,174384,178708,184560,187552,190960,194420,200656,206116,213020,216252,222504,230780,234420,242180,245768,253212,260180,271400,280564,287000,298800,304964,315172,307072,322324,344912,384952,363872,368392,374116,388648,400904,413816,419616,429892,430568,429584,436048,442748,457120,468140,474160,480964,482932,490452,497840,504996,508092,511192,516508,514116,511188,520700,527840,537088,552768,570384,584028,594596,604236,609664,612512,626492,644656,651404,667716,683560,714796,729072,748624,744596,774664,765772,774324,781200,796472,794844,799528,809276,806560,815352,808600,816440,821956,829856,838552,838864,843364,856320,865096,876600,897772,901996,904788,905964,904448,922764,939868,973248,1007808,1030404,1066960,1087716,1156424,1200696,1232380,1249756
 "38000","North Dakota",4,SQINC6S,8,"...","  Employer contributions for government social insurance","Thousands of dollars",14300,14432,14420,14636,17552,17648,17492,17184,19952,19936,20300,20380,21116,21192,20620,20408,22996,23072,24440,25616,28252,28380,28628,29004,28184,28760,30084,31096,30352,30888,31380,30692,36052,36012,35944,36328,38296,39716,40768,42240,44280,44512,44532,45156,45332,46100,47268,49392,51184,52840,55572,56324,60632,63372,63368,62644,75236,73808,73404,73184,88528,91276,92080,96188,102456,106720,110076,113784,120100,120816,125508,130316,144872,147564,148236,150764,158136,160896,161384,164332,179364,186332,193588,198704,207768,213096,226508,233940,235640,238100,239720,247156,268640,275108,286164,307184,305380,310088,307292,308196,326152,330880,332080,339968,360744,351872,352948,353444,353244,355208,355144,358388,357112,358392,361864,366576,369204,371032,377636,381448,396680,409036,411660,413756,411100,418552,427560,439860,455052,469472,480800,492544,499680,505904,517840,519200,542996,546816,558976,545936,600368,594264,601960,606580,628896,631232,640084,658828,663448,677800,676444,684688,691876,705676,714580,716348,715348,720160,725460,734996,763296,763428,763396,761032,760380,768612,772484,793916,821800,815572,823784,805332,810760,805912,804192,812536
 "38000","North Dakota",4,SQINC6S,81,"[01-02]"," Farm compensation","Thousands of dollars",30356,31156,31136,31912,30484,28544,27960,30676,31652,33840,34236,34176,31124,28540,28412,29436,33364,36692,38192,38496,36264,33612,33876,31220,31240,34236,34808,35844,36988,40556,39864,41192,40712,40844,40656,40524,39660,37956,38752,38352,38736,37808,39740,40172,36992,37928,38440,39240,38660,39400,40308,40368,41776,42236,44336,43740,43568,41284,41092,41556,43104,44928,47552,51764,54072,57504,58980,60568,62248,61484,61100,64304,71740,77296,77896,75924,73172,68508,66272,66288,73348,75636,77756,79548,80156,81000,81840,82564,82348,82856,82280,80684,77892,76608,76852,78636,80732,83196,84244,83776,82380,80592,79592,79364,79900,80848,81876,82896,83576,83908,83232,81556,79092,77472,76620,76572,76992,78044,79516,81244,82420,84072,85308,86060,83936,84704,86612,89576,92276,95424,96288,94988,90208,87188,84956,83748,82972,84084,85744,87692,88008,88964,91284,93968,100564,105016,107420,107708,107540,104908,103412,103724,107040,110108,113060,115648,118072,119460,122176,125964,133288,138796,140612,139136,133924,129272,127800,129488,134768,140516,146512,152120,158764,161088,162732,163688
 "38000","North Dakota",4,SQINC6S,82,"..."," Nonfarm compensation","Thousands of dollars",491868,498484,504020,522136,542452,557352,559028,557016,570944,578320,588240,596928,605816,615360,610724,616436,635748,646532,681036,702700,713420,711480,716892,727480,737484,754712,788824,810648,804544,817764,842808,843920,857312,870912,871856,870928,881656,889856,898232,919472,945052,958168,960912,981556,988844,1014932,1043024,1085400,1120196,1151756,1204324,1224744,1248300,1298560,1320024,1317972,1442228,1428140,1442996,1464580,1523908,1593380,1633292,1696044,1731416,1796680,1850012,1908940,1987644,2015256,2097184,2186616,2281052,2333804,2365784,2425868,2466556,2534668,2575812,2659344,2771944,2876840,2988604,3056928,3151972,3222120,3386924,3489836,3545232,3608996,3641112,3776936,3885564,4012784,4195744,4486456,4399712,4438888,4413744,4455236,4521468,4603356,4628692,4760856,4781112,4736020,4776020,4802352,4827464,4882436,4890800,4925516,4903324,4898684,4925768,4975092,5043848,5063832,5131276,5171040,5180340,5337596,5366280,5391196,5437324,5507844,5577608,5677820,5768128,5881020,5957840,6061876,6137580,6191320,6311188,6357896,6592128,6642084,6760564,6718396,7031012,7000684,7077068,7171580,7303144,7380300,7470128,7667932,7729668,7879296,7867752,7973096,8079092,8248992,8379004,8420380,8511868,8642172,8754232,8898888,9090032,9126320,9181836,9255428,9330480,9506944,9552592,9799288,10052572,9987144,10177092,10107044,10451128,10604188,10693448,10807492
 "38000","North Dakota",4,SQINC6S,90,"...","  Private nonfarm compensation","Thousands of dollars",362596,365476,370292,383292,399228,411016,403444,398316,407560,406116,411400,412384,413304,418020,413016,412532,427324,432632,461016,477412,477876,471984,471328,479324,483328,497592,525068,540840,531256,534160,546720,542832,547964,552596,550220,552980,560148,571200,578984,589704,604228,614592,619212,629008,634572,649856,665592,697224,713872,729528,771068,781076,789308,828268,837452,827784,940596,911080,908908,923388,969236,1029564,1058272,1111392,1136568,1198848,1246036,1296992,1352028,1368056,1436412,1501444,1583132,1624404,1648936,1696680,1725896,1781324,1821124,1891836,1974288,2073952,2165240,2227328,2293224,2351784,2499608,2583052,2639788,2656792,2668692,2772212,2916660,2990300,3086148,3243088,3236108,3270264,3247308,3262044,3294316,3362156,3395340,3486136,3490960,3428724,3449440,3458872,3439596,3474996,3456340,3482164,3461452,3441668,3444748,3473920,3530316,3553992,3623392,3655220,3633764,3768804,3790032,3790280,3827696,3884352,3918732,3999652,4071152,4148196,4231760,4314788,4337288,4383396,4498012,4513608,4712568,4730232,4814792,4781872,5061584,5044756,5097060,5186720,5282608,5367332,5452256,5612928,5658748,5776112,5746044,5825264,5950924,6119592,6225488,6260936,6336604,6435288,6552188,6686360,6857844,6900116,6945644,7005660,7068348,7219868,7238908,7444664,7648340,7568012,7762884,7676232,7931704,8031188,8047252,8115092
 "38000","North Dakota",4,SQINC6S,100,"[07-09]","   Agricultural services, forestry, and fishing","Thousands of dollars",2120,2532,2552,2552,2604,2196,2236,2248,2272,1832,1824,1804,1732,2112,2080,2144,2272,1928,1952,1916,2236,2088,2036,2056,2188,2288,2340,2344,2268,2640,2596,2572,2608,3044,3064,3076,3056,3072,3520,3536,3556,3140,3160,3184,3488,3408,3916,3852,3812,4324,4364,4316,4896,4780,5136,5064,5200,5532,5556,6032,6484,6744,7004,7452,7872,7904,8384,7888,7628,7316,7332,7844,8144,8980,8652,9212,7676,7716,9208,11472,9836,11924,12412,12776,13764,12252,12516,13036,13308,14976,13216,13416,13880,13852,13928,13212,13484,13820,14740,13020,14596,15348,15504,16052,16836,16456,19156,17464,17776,18752,19456,20980,21588,21380,22416,23332,22208,23276,22780,21964,24008,24684,23440,23544,23220,23688,24580,26276,27132,25852,27744,27304,27688,28092,29540,29284,29112,29380,28784,29760,31084,32304,32436,34160,34540,33916,34308,33572,35828,34636,38028,36268,35588,35868,39012,40148,37928,37636,37484,38548,40420,42284,40236,39840,43668,47248,45316,47536,45168,45996,47516,48328,60116,52468,46252,42876
 "38000","North Dakota",4,SQINC6S,200,"B","   Mining","Thousands of dollars",14964,14312,14232,13920,14524,15888,13740,13776,11868,12116,10612,10280,11200,12044,13120,12632,12260,11336,10932,11328,11300,11300,10864,10024,10752,11376,11704,12720,13200,13060,13420,13292,13352,13796,14036,14608,13716,14876,15072,14768,15040,15080,15020,14776,16008,15796,15832,16456,17772,14504,15480,15804,16628,15052,17272,16304,15788,16348,16704,16824,16536,17716,17052,18872,20120,23160,24000,22868,27136,28824,35900,40056,43064,41552,43328,45364,48736,55652,60084,62724,67016,84428,94448,102984,104764,116192,136508,154708,173064,187784,203792,231588,270572,307076,330456,353292,354192,293600,259076,241976,215880,204184,212832,228780,233200,234288,251564,245180,237472,243896,224024,216512,202136,167480,150360,145804,138476,149436,153672,154852,154584,155528,151312,146020,145384,150544,158864,159036,164656,167716,170376,175876,180560,172348,169624,161564,168284,166880,161368,177316,168640,175544,176536,181040,169412,169588,168144,168248,172820,173980,184700,181664,190688,190624,192296,191184,197028,207028,204008,208612,207200,201392,198972,185776,197140,178968,181724,188372,194724,195948,199940,203544,219768,231064,216304,219736
 "38000","North Dakota",4,SQINC6S,300,"C","   Construction","Thousands of dollars",47316,48188,47588,53236,58116,61788,57964,54392,58656,51548,53044,52340,52948,55124,52348,52024,61424,59984,73516,82040,80688,70744,61300,60620,63584,80772,100860,113220,92752,86952,88280,75964,69736,68032,63172,60428,62476,62952,63288,63772,65828,64924,59072,59504,63480,65556,65456,72896,80720,87688,110428,114952,98376,123900,116888,117168,130712,135384,144036,139616,138044,133848,119080,125848,132748,147380,164100,174520,193584,182656,199564,208668,223752,239728,236492,247916,246744,258688,264492,273532,308120,330956,344452,339308,335488,336000,372672,372280,366828,342832,317940,330540,321356,314596,328476,402744,337012,402932,407396,411940,476016,485968,488256,472732,448232,336692,302612,297184,292292,275860,274952,270804,252452,260828,263828,266724,269316,264316,275240,275484,258700,256204,259788,257840,246772,256248,263224,263936,276564,287160,283068,293708,287108,285288,307556,294648,316880,323108,337672,337200,349808,355172,353140,380240,385388,380032,396320,415588,435520,464860,429700,438476,507368,508060,536716,493456,487752,513720,526072,560844,572692,559720,563484,579444,614464,637184,715696,697208,690332,645488,609024,584636,626808,617944,615224,643128
