GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1998:Q1,1998:Q2,1998:Q3,1998:Q4,1999:Q1,1999:Q2,1999:Q3,1999:Q4,2000:Q1,2000:Q2,2000:Q3,2000:Q4,2001:Q1,2001:Q2,2001:Q3,2001:Q4,2002:Q1,2002:Q2,2002:Q3,2002:Q4,2003:Q1,2003:Q2,2003:Q3,2003:Q4,2004:Q1,2004:Q2,2004:Q3,2004:Q4,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
 "31000","Nebraska",4,SQINC6N,1,"...","Compensation of employees (thousands of dollars, seasonally adjusted)","Thousands of dollars",28388988,29113980,29592380,29768812,30244272,30749988,31037088,32037780,32670792,32767448,33082352,33220432,33762580,34293216,34296200,34880156,35052976,35573020,35908168,36163812,36577472,37018748,37228168,37774236,38051676,38723832,39419060,39547436,39890184,40226472,40712172,41565624,42105352,42815796,42237616,43577644,43863752,44826680,45265000,46161088,45800072,46730028,47290616,46843832,46435864,46127024,46211172,46412720,46008104,46846180,46745164,46829812,47315588,48007252,48069084,48382744,49846344,50290864,50616404,51675820,51498792,51421652,51952620,52012280,53773840,54069168,54147964,55184076,55898920,56599764,56892240,57055600,57350052,57755376,58331520,59325836,59848740,60806608,61239108,62014980,62760224,63412988,63634016,63887476,64868187,65694363
 "31000","Nebraska",4,SQINC6N,5,"..."," Wages and salaries","Thousands of dollars",23326036,23912528,24305380,24458600,24854052,25254372,25472416,26302796,26837192,26879504,27129768,27208924,27642220,28020024,27963328,28366392,28417452,28800848,29022740,29155212,29445096,29794916,29970708,30423976,30570380,31125336,31680832,31721516,31887160,32129920,32539812,33246720,33796792,34389572,33927628,35059040,35337680,36114168,36442368,37192456,36939396,37668436,38111940,37693964,37130952,36890684,36957264,37182628,36843560,37660356,37669320,37768224,38149880,38675072,38696936,38755344,39917724,40147984,40409400,41393976,41366480,41314056,41715988,41667032,42878548,43167740,43339264,44322460,45085808,45751352,46037256,46174876,46319172,46588068,46935600,47584536,47825584,48440896,48679832,49251860,49881456,50360820,50532584,50725156,51593537,52258468
 "31000","Nebraska",4,SQINC6N,6,"..."," Supplements to wages and salaries","Thousands of dollars",5062952,5201452,5287000,5310212,5390220,5495616,5564672,5734984,5833600,5887944,5952584,6011508,6120360,6273192,6332872,6513764,6635524,6772172,6885428,7008600,7132376,7223832,7257460,7350260,7481296,7598496,7738228,7825920,8003024,8096552,8172360,8318904,8308560,8426224,8309988,8518604,8526072,8712512,8822632,8968632,8860676,9061592,9178676,9149868,9304912,9236340,9253908,9230092,9164544,9185824,9075844,9061588,9165708,9332180,9372148,9627400,9928620,10142880,10207004,10281844,10132312,10107596,10236632,10345248,10895292,10901428,10808700,10861616,10813112,10848412,10854984,10880724,11030880,11167308,11395920,11741300,12023156,12365712,12559276,12763120,12878768,13052168,13101432,13162320,13274650,13435895
 "31000","Nebraska",4,SQINC6N,7,"...","  Employer contributions for employee pension and insurance funds 2/","Thousands of dollars",3263772,3356564,3409716,3432664,3475636,3555492,3615412,3736804,3805640,3863172,3907128,3953860,4026068,4145844,4204156,4347308,4455316,4560872,4658468,4768800,4856980,4927364,4956680,5030356,5129252,5220528,5324872,5404156,5548060,5613404,5641996,5716220,5643340,5699316,5614696,5746748,5776340,5936156,6033848,6134092,6035396,6184240,6278236,6274608,6468632,6408744,6401504,6336912,6194600,6142512,6037724,6042360,6071256,6231784,6294412,6571244,6793796,7004260,7072828,7091744,6976160,6960236,7061732,7159072,7599984,7592044,7487912,7474116,7396908,7383052,7377060,7396748,7551472,7667324,7859232,8142864,8394852,8679024,8853192,9019308,9132168,9280992,9321012,9374192,9417220,9536705
 "31000","Nebraska",4,SQINC6N,8,"...","  Employer contributions for government social insurance","Thousands of dollars",1799180,1844888,1877284,1877548,1914584,1940124,1949260,1998180,2027960,2024772,2045456,2057648,2094292,2127348,2128716,2166456,2180208,2211300,2226960,2239800,2275396,2296468,2300780,2319904,2352044,2377968,2413356,2421764,2454964,2483148,2530364,2602684,2665220,2726908,2695292,2771856,2749732,2776356,2788784,2834540,2825280,2877352,2900440,2875260,2836280,2827596,2852404,2893180,2969944,3043312,3038120,3019228,3094452,3100396,3077736,3056156,3134824,3138620,3134176,3190100,3156152,3147360,3174900,3186176,3295308,3309384,3320788,3387500,3416204,3465360,3477924,3483976,3479408,3499984,3536688,3598436,3628304,3686688,3706084,3743812,3746600,3771176,3780420,3788128,3857430,3899190
 "31000","Nebraska",4,SQINC6N,81,"111-112"," Farm compensation","Thousands of dollars",330128,344924,350596,347868,335420,324480,321784,327060,341284,356820,373328,389096,409952,416436,420988,423620,393296,391536,387904,382212,457640,455164,459524,470832,425000,436232,442292,443260,394112,390536,387172,383944,417960,421404,431412,448212,501392,519584,531248,536080,548352,546820,545944,545856,549012,547712,544720,539872,513812,503200,489016,471292,513752,509336,524356,559324,532244,564832,581616,582448,553836,547328,548420,556752,588324,590516,584708,570716,648624,635216,633740,644180,610952,627180,638404,644992,697076,697976,697496,695760,727100,728664,734552,745564,759454,769314
 "31000","Nebraska",4,SQINC6N,82,"..."," Nonfarm compensation","Thousands of dollars",28058860,28769056,29241784,29420944,29908852,30425508,30715304,31710720,32329508,32410628,32709024,32831336,33352628,33876780,33875212,34456536,34659680,35181484,35520264,35781600,36119832,36563584,36768644,37303404,37626676,38287600,38976768,39104176,39496072,39835936,40325000,41181680,41687392,42394392,41806204,43129432,43362360,44307096,44733752,45625008,45251720,46183208,46744672,46297976,45886852,45579312,45666452,45872848,45494292,46342980,46256148,46358520,46801836,47497916,47544728,47823420,49314100,49726032,50034788,51093372,50944956,50874324,51404200,51455528,53185516,53478652,53563256,54613360,55250296,55964548,56258500,56411420,56739100,57128196,57693116,58680844,59151664,60108632,60541612,61319220,62033124,62684324,62899464,63141912,64108733,64925049
 "31000","Nebraska",4,SQINC6N,90,"113-814","  Private nonfarm compensation","Thousands of dollars",22579436,23241080,23684512,23834868,24311956,24737088,24983072,25915948,26441632,26481536,26857028,26688256,27207068,27465540,27345860,27686996,27970304,28223084,28533760,28624792,28923128,29066240,29441644,29662176,29999820,30480508,31144268,31189268,31411072,31803968,32295372,32917552,33276532,33802800,33115424,34352884,34598000,35587860,35936156,36764960,36340660,37201920,37698216,37034664,36751112,36215468,36121020,36118528,35713184,36279632,36283676,36246652,36761352,37186648,37540276,37512600,39285016,39376240,39909456,40701928,40854900,40478780,41202036,40978012,42700304,42887408,42913404,43730576,44299576,44773340,44963544,45235780,45247584,45816580,46291120,47124744,47543028,48424776,48820384,49461128,50172092,50724380,50771188,50998476,51937613,52635857
 "31000","Nebraska",4,SQINC6N,100,"113-115","   Forestry, fishing, and related activities","Thousands of dollars",65808,63936,63784,58592,63148,64264,63684,66572,61576,61036,68548,86024,62436,63408,65288,61592,59012,58948,60168,59356,61680,63276,62080,69912,72956,80412,68880,77676,78912,80760,82900,83688,88164,92408,87748,91468,99236,100352,107420,103404,106524,105724,118208,127524,125132,134252,140040,138860,133804,140384,134740,124300,152664,147468,153408,160600,163352,176156,187536,186120,180944,183940,197492,206256,230320,196496,194168,202028,197416,200012,200732,209124,213376,219008,219880,213236,222676,218964,226276,233596,232888,235148,226236,234076,236207,237343
 "31000","Nebraska",4,SQINC6N,200,"21","   Mining, quarrying, and oil and gas extraction","Thousands of dollars",50636,50952,55080,54948,51884,52084,53888,57728,57640,56468,52688,51056,56432,58112,56704,57488,55672,54100,53984,53332,64836,63056,66084,66216,68228,70620,70696,70444,68300,70840,70504,71260,70732,71172,69192,70788,49944,51080,50652,50380,55460,55160,54448,54240,53948,51788,50352,50596,50192,54712,52916,56864,58964,58172,60524,62092,69528,70268,83860,69796,67388,66128,67932,69184,74648,76248,72800,74540,73248,71148,72040,71816,68116,67704,70252,71456,74220,75332,76020,79748,82844,84612,81996,80584,81416,84367
